author,seed_doi,seed_title,seed_short_title,n_seed_dois_cited_by_author,n_citing_works_by_author
Katherine Calhoun,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,1,1
Katherine E. Venturo‐Conerly,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,1,1
Katherine L. Marshall,10.3386/w30835,Water Treatment And Child Mortality: A Meta-Analysis And Cost-effectiveness Analysis,Water Treatment And Child Mortality,1,1
Katherine Lacasse,10.3386/w32450,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,The Macroeconomic Impact of Climate Change,1,1
Katherine Meckel,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",1,1
Katherine Richard,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,1,1
Katherine Rittenhouse,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",1,1
Kathrin Grosse,10.48550/arxiv.2305.07153,Towards best practices in AGI safety and governance: A survey of expert opinion,Towards best practices in AGI safety and governance,1,1
Kathrin Wolf,10.1257/pandp.20201017,Advance Market Commitments: Insights from Theory and Experience,Advance Market Commitments,1,1
Katrine Sonne‐Hansen,10.3386/w26752,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives,1,1
Katy Bergstrom,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,1,1
Kazunobu Muro,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,1
Ke He,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Does the Squeaky Wheel Get More Grease? The Direct and…,1,1
Ke-Liang Wang,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,1
Keita Fukasawa,10.1111/conl.13077,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened Species,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened…,1,1
Kelly Holland,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,1,1
Kelly Kaila,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,1,1
Kelly M. Doran,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,1,1
Kenichiro Onitsuka,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,1,1
Kenneth Gillingham,10.3386/w31137,Biodiversity Risk,Biodiversity Risk,1,1
Kenneth L. Davis,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,1
Keri M. Guilbault,10.3386/w26752,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives,1,1
Kerong Zhang,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,1
Kerstin Hötte,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,1
Ketki Sheth,10.3386/w30835,Water Treatment And Child Mortality: A Meta-Analysis And Cost-effectiveness Analysis,Water Treatment And Child Mortality,1,1
Kevin Carney,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,1,1
Kevin Donovan,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,1,1
Kevin Hosford,10.3386/w26752,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives,1,1
Kevin R. James,10.3386/w26752,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives,1,1
Kevin Rassool,10.1016/j.ijdrr.2022.102798,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,Long term cost-effectiveness of resilient foods for global catastrophes compared…,1,1
Kevin Wei,10.48550/arxiv.2305.07153,Towards best practices in AGI safety and governance: A survey of expert opinion,Towards best practices in AGI safety and governance,1,1
Kexu Wu,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,1
Keyi Tang,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Does the Squeaky Wheel Get More Grease? The Direct and…,1,1
Khagendra Subba,10.3386/w31208,Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,Building Resilient Education Systems,1,1
Khalid Fardousse,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,1
Khatuna Akhalaia,10.1093/wbro/lkae010,The Effect of Lead Exposure on Children’s Learning in the Developing World: A Meta-Analysis,The Effect of Lead Exposure on Children’s Learning in the…,1,1
Khine Kyaw,10.3386/w31137,Biodiversity Risk,Biodiversity Risk,1,1
Kibrom A. Abay,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,1,1
Kimberly Berg,10.3386/w32450,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,The Macroeconomic Impact of Climate Change,1,1
Kiparissenia Samara,10.3386/w31899,The Effect of Public Science on Corporate R&amp;D,The Effect of Public Science on Corporate R&amp;D,1,1
Kirsten M. McMillan,10.1111/conl.13077,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened Species,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened…,1,1
Kirun Sankaran,10.1257/pandp.20201017,Advance Market Commitments: Insights from Theory and Experience,Advance Market Commitments,1,1
Klaus Kümmerer,10.21203/rs.3.rs-3235955/v1,The global potential for natural regeneration in deforested tropical regions,The global potential for natural regeneration in deforested tropical regions,1,1
Koen Maaskant,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,1,1
Koen Schoors,10.3386/w33018,Misperceptions and Demand for Democracy under Authoritarianism,Misperceptions and Demand for Democracy under Authoritarianism,1,1
Konstantin Büchel,10.3386/w31208,Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,Building Resilient Education Systems,1,1
Kosuke Inoue,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,1,1
Kota Mameno,10.1111/conl.13077,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened Species,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened…,1,1
Kotamarti Sushanth,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,1
Kreshnik Vukatana,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,1
Krishna Kumar Yadav,10.3386/w30835,Water Treatment And Child Mortality: A Meta-Analysis And Cost-effectiveness Analysis,Water Treatment And Child Mortality,1,1
Kristin Kiesel,10.3386/w30740,"When do ""Nudges"" Increase Welfare?","When do ""Nudges"" Increase Welfare?",1,1
Kristina Matuzevičiūtė,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,1
Kristina Suchotzki,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",1,1
Kultar Singh,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,1,1
Kumari Smita,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",1,1
Kun Yang,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,1
Kyle J. Moon,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,1,1
Kyunam Kim,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,1
L. Guillermo Woo-Mora,10.1093/ej/uead102,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in Indonesia,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in…,1,1
Lalitha Sundaram,10.1016/j.ijdrr.2022.102798,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,Long term cost-effectiveness of resilient foods for global catastrophes compared…,1,1
Lamiaa Fiala,10.3386/w32093,Cash Transfers for Child Development: Experimental Evidence from India,Cash Transfers for Child Development,1,1
Langtian Ma,10.48550/arxiv.2107.06476,Adaptability and the Pivot Penalty in Science,Adaptability and the Pivot Penalty in Science,1,1
Lara Bartels,10.3386/w30740,"When do ""Nudges"" Increase Welfare?","When do ""Nudges"" Increase Welfare?",1,1
Larissa Lushniak,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,1,1
Laura Boudreau,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,1,1
Laura Cook,10.1016/j.ijdrr.2022.102798,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,Long term cost-effectiveness of resilient foods for global catastrophes compared…,1,1
Laura Levaggi,10.3386/w31272,Pharmaceutical Pricing and R&amp;D as a Global Public Good,Pharmaceutical Pricing and R&amp;D as a Global Public Good,1,1
Laura Schechter,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,1,1
Laura Stilwell,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,1,1
Laura Veldkamp,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,1
Laurel Krovetz,10.1257/aeri.20210612,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…,1,1
Lauren Coad,10.1111/conl.13077,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened Species,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened…,1,1
Lauren Meyer,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,1,1
Laurence J. Kotlikoff,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,1
Lawrence O. Gostin,10.3386/w26775,Advance Market Commitments: Insights from Theory and Experience,Advance Market Commitments,1,1
Lea Samek,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,1
Leah R. Rosenzweig,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,1,1
Leandra Scharnhorst,10.3386/w32450,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,The Macroeconomic Impact of Climate Change,1,1
Lee Crawfurd,10.3386/w30835,Water Treatment And Child Mortality: A Meta-Analysis And Cost-effectiveness Analysis,Water Treatment And Child Mortality,1,1
Lee Sharkey,10.48550/arxiv.2305.07153,Towards best practices in AGI safety and governance: A survey of expert opinion,Towards best practices in AGI safety and governance,1,1
Lefteris Andreadis,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,1
Lei Lei,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Does the Squeaky Wheel Get More Grease? The Direct and…,1,1
Lei Liu,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",1,1
Lei Shi,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Does the Squeaky Wheel Get More Grease? The Direct and…,1,1
Leland E. Farmer,10.1257/pandp.20201017,Advance Market Commitments: Insights from Theory and Experience,Advance Market Commitments,1,1
Lelys Dinarte-Diaz,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,1,1
Lena Frischlich,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",1,1
Leonard E. Egede,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,1,1
Leonardo M. Giuffrida,10.1257/pandp.20201017,Advance Market Commitments: Insights from Theory and Experience,Advance Market Commitments,1,1
Leonhard Vollmer,10.1093/ej/uead102,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in Indonesia,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in…,1,1
Leonie Koessler,10.48550/arxiv.2305.07153,Towards best practices in AGI safety and governance: A survey of expert opinion,Towards best practices in AGI safety and governance,1,1
Li Lin,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Does the Squeaky Wheel Get More Grease? The Direct and…,1,1
Li Sun,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Does the Squeaky Wheel Get More Grease? The Direct and…,1,1
Lianchao Yu,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Does the Squeaky Wheel Get More Grease? The Direct and…,1,1
Liang Liu,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,1
Liangke Liu,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Does the Squeaky Wheel Get More Grease? The Direct and…,1,1
Liangyu Jiang,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,1
Lichen Qiao,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,1
Lienda Bashier Eltayeb,10.3386/w30835,Water Treatment And Child Mortality: A Meta-Analysis And Cost-effectiveness Analysis,Water Treatment And Child Mortality,1,1
Lifan Shi,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,1
Lili Wang,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,1
Lili Xia,10.1016/j.ijdrr.2022.102798,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,Long term cost-effectiveness of resilient foods for global catastrophes compared…,1,1
Lili Yan,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Does the Squeaky Wheel Get More Grease? The Direct and…,1,1
Lilla Bánkuty-Balogh,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,1
Lilla Sarolta Bánkuty-Balogh,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,1
Limei Yang,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Does the Squeaky Wheel Get More Grease? The Direct and…,1,1
Lin Ding,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,1
Lin Feng,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,1,1
Lin Guo,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,1
Lin Li,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Does the Squeaky Wheel Get More Grease? The Direct and…,1,1
Lin Yang,10.3386/w31554,Urban Forests: Environmental Health Values and Risks,Urban Forests,1,1
Lina Garšvienė,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,1
Lina Torossian,10.3386/w31208,Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,Building Resilient Education Systems,1,1
Linda Ponta,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,1
Ling Dai,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Does the Squeaky Wheel Get More Grease? The Direct and…,1,1
Lingqian Kong,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Does the Squeaky Wheel Get More Grease? The Direct and…,1,1
Lingxiao Yang,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,1
Lingyun Chen,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Does the Squeaky Wheel Get More Grease? The Direct and…,1,1
Ling‐Yun He,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,1
Linh Tu Ho,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,1
Linh Vu,10.2139/ssrn.3938994,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices,Information Avoidance and Moral Behavior,1,1
Linjie Feng,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Does the Squeaky Wheel Get More Grease? The Direct and…,1,1
Lint Barrage,10.1257/aeri.20230431,Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,Money (Not) to Burn,1,1
Lior Horesh,10.3386/w26752,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives,1,1
Lirui Jiao,10.3386/w31137,Biodiversity Risk,Biodiversity Risk,1,1
Lisa Ho,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,1,1
Lisa Rogge,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,1,1
Lisa Sheenan,10.3386/w31137,Biodiversity Risk,Biodiversity Risk,1,1
Lise G. Bjerregaard,10.3386/w31162,Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey,Intergenerational Child Mortality Impacts of Deworming,1,1
Lisen Arnheim‐Dahlström,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,1,1
Lixin Zhang,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,1
Liya Miao,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,1
Liz Ota,10.21203/rs.3.rs-3235955/v1,The global potential for natural regeneration in deforested tropical regions,The global potential for natural regeneration in deforested tropical regions,1,1
Long Niu,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Does the Squeaky Wheel Get More Grease? The Direct and…,1,1
Longpeng Zhang,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,1
Longzheng Du,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,1
Lorenzo Rodrigo Aldeco Leo,10.1257/aeri.20230431,Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,Money (Not) to Burn,1,1
Louis J. Gross,10.3386/w32450,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,The Macroeconomic Impact of Climate Change,1,1
Louis Tay,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,1,1
Louis-Maël Jean,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,1,1
Lourens Poorter,10.21203/rs.3.rs-3235955/v1,The global potential for natural regeneration in deforested tropical regions,The global potential for natural regeneration in deforested tropical regions,1,1
Luca Braghieri,10.1257/aeri.20210612,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…,1,1
Luca Farè,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,1
Luca Henkel,10.3386/w32073,"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",Ends versus Means,1,1
Luca Stella,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,1
Lucas Hertzog,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,1,1
Lucas Siga,10.3386/w31663,"Zero-Sum Environments, the Evolution of Effort-Suppressing Beliefs, and Economic Development","Zero-Sum Environments, the Evolution of Effort-Suppressing Beliefs, and Economic…",1,1
Lucia A. Reisch,10.3386/w30740,"When do ""Nudges"" Increase Welfare?","When do ""Nudges"" Increase Welfare?",1,1
Lucie Cluver,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,1,1
Lucie Gadenne,10.3386/w32093,Cash Transfers for Child Development: Experimental Evidence from India,Cash Transfers for Child Development,1,1
Lucius Bushnaq,10.48550/arxiv.2305.07153,Towards best practices in AGI safety and governance: A survey of expert opinion,Towards best practices in AGI safety and governance,1,1
Lucius Caviola,10.1016/j.cognition.2021.104941,Population ethical intuitions,Population ethical intuitions,1,1
Lucy Amissah,10.21203/rs.3.rs-3235955/v1,The global potential for natural regeneration in deforested tropical regions,The global potential for natural regeneration in deforested tropical regions,1,1
Lucy Ogbu-Nwobodo,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,1,1
Luis Hernando Romero Jiménez,10.21203/rs.3.rs-3235955/v1,The global potential for natural regeneration in deforested tropical regions,The global potential for natural regeneration in deforested tropical regions,1,1
Luisa Feline Freier,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,1,1
Lukas Bieringer,10.48550/arxiv.2305.07153,Towards best practices in AGI safety and governance: A survey of expert opinion,Towards best practices in AGI safety and governance,1,1
Lukas Bolte,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",1,1
Lukas Brandl-Cheng,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,1
Lukas Lehner,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,1,1
Lukas Zimmermann,10.3386/w31137,Biodiversity Risk,Biodiversity Risk,1,1
Luke Munford,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",1,1
Luke R. Aldridge,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",1,1
Luping Yu,10.3386/w31137,Biodiversity Risk,Biodiversity Risk,1,1
Lutz Bornmann,10.3386/w26752,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives,1,1
M Stratinaki,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,1,1
M. Granger Morgan,10.1257/pandp.20201017,Advance Market Commitments: Insights from Theory and Experience,Advance Market Commitments,1,1
M. J. Guo,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,1
M. L. Rivers,10.1016/j.ijdrr.2022.102798,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,Long term cost-effectiveness of resilient foods for global catastrophes compared…,1,1
M. Link,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,1
M. S. Rahman,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,1
M. Taha Kasim,10.1093/ej/uead102,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in Indonesia,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in…,1,1
M. Xu,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Does the Squeaky Wheel Get More Grease? The Direct and…,1,1
M.A.G. von Keyserlingk,10.1080/21606544.2022.2138980,The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,The animal welfare cost of meat,1,1
M.K.G. Abbas,10.3386/w30835,Water Treatment And Child Mortality: A Meta-Analysis And Cost-effectiveness Analysis,Water Treatment And Child Mortality,1,1
Mabel Machado López,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,1
Maciej Jakubowski,10.3386/w31208,Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,Building Resilient Education Systems,1,1
Maciej Turała,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,1
Mackenzie Arnold,10.48550/arxiv.2305.07153,Towards best practices in AGI safety and governance: A survey of expert opinion,Towards best practices in AGI safety and governance,1,1
Madeline Werthschulte,10.3386/w30740,"When do ""Nudges"" Increase Welfare?","When do ""Nudges"" Increase Welfare?",1,1
Madelon Lohbeck,10.21203/rs.3.rs-3235955/v1,The global potential for natural regeneration in deforested tropical regions,The global potential for natural regeneration in deforested tropical regions,1,1
Magdalena Wache,10.1016/j.ijdrr.2022.102798,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,Long term cost-effectiveness of resilient foods for global catastrophes compared…,1,1
Magdolna Sass,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,1
Maha Awjan Alreshidi,10.3386/w30835,Water Treatment And Child Mortality: A Meta-Analysis And Cost-effectiveness Analysis,Water Treatment And Child Mortality,1,1
Maha Kalai,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,1,1
Mahamane L. Manzo,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,1,1
