ISSN,Journal ,Subject area [Range highest to lowest],JourQual ,FT   ,Cnrs ,EJL ,ABS ,Den ,Hceres ,Scopus ,ABDC ,Fnege ,Meta 
1075-4253,Journal of International Management,IB,B,,3,S,3,2,B,06-Jan,A,3,B
1069-031X,Journal of International Marketing,Marketing,B,,2,S,3,2,A,08-Jan,A,2,B
1010-7347,Journal of International Marketing and Marketing Research,Marketing,,,,,,,,,C,,
0261-5606,Journal of International Money and Finance,F&A,B,,2,P,3,2,A,03-Sep,A,2,B
1545-9144,Journal of Investment Management,F&A,,,,,,1,,,C,,
1367-3270,Journal of Knowledge Management,"MIS, KM",C,,3,,2,2,B,10-Mar,A,2,B
0734-306X,Journal of Labor Economics,Economics,A,,1,,4,2,A,06-Apr,A*,1,A
0195-3613,Journal of Labor Research,"OS/OB,HRM/IR",,,4,,2,1,C,01-Mar,B,4,
0261-927X,Journal of Language and Social Psychology,Psychology,,,,,2,1,,02-Aug,B,,
0022-2186,Journal of Law and Economics,Economics,B,,1,,3,1,A,02-Jan,A*,1,B
8756-6222,"Journal of Law, Economics, and Organization",Economics,B,,1,S,3,2,A,02-May,A,2,B
0022-2216,Journal of Leisure Research,Tourism,,,,,,1,,01-Apr,A,,
0164-0704,Journal of Macroeconomics,Economics,,,2,,2,1,A,02-Feb,A,3,
0276-1467,Journal of Macromarketing,Marketing,C,,3,,2,1,B,03-May,A,3,B
0149-2063,Journal of Management,Gen & Strat,A,1,1,P*,4*,2,A,21-Apr,A*,1,A+
1049-2127,Journal of Management Accounting Research,F&A,B,,3,S,2,1,B,02-Apr,A*,3,B
1385-3457,Journal of Management and Governance,Gen & Strat,C,,4,,1,1,C,02-Jun,C,4,
1833-3672,Journal of Management and Organization,Gen & Strat,,,,,2,1,,03-Jun,B,,
2191-4761,Journal of Management Control,F&A,,,,,2,1,,04-Aug,A,,
0262-1711,Journal of Management Development,"OS/OB,HRM/IR",,,4,,1,1,C,4.0,C,4,
1052-5629,Journal of Management Education,Education,B,,,,2,1,,02-Apr,B,,
1751-1348,Journal of Management History,Gen & Strat,,,,,1,,,01-May,B,4,
0742-1222,Journal of Management Information Systems,"MIS, KM",A,1,1,P,4,2,A,10-May,A*,1,A
1056-4926,Journal of Management Inquiry,Gen & Strat,B,,3,S,3,1,A,04-Feb,A,2,B
0022-2380,Journal of Management Studies,Gen & Strat,A,1,1,P*,4,2,A,09-Feb,A*,1,A
1045-3695,Journal of Managerial Issues,Gen & Strat,C,,,,,,,,C,,
0268-3946,Journal of Managerial Psychology,"OS/OB,HRM/IR",B,,4,,3,1,B,03-Jan,B,3,
0278-6125,Journal of Manufacturing Systems,"OR,MS,POM",,,3,,1,2,B,12-Jul,B,4,B
1741-038X,Journal of Manufacturing Technology Management,"OR,MS,POM",C,,4,,1,1,C,08-Apr,B,4,
0022-2429,Journal of Marketing,Marketing,A+,1,1*,P*,4*,2,A,12-Mar,A*,1*,A+
1046-669X,Journal of Marketing Channels,Marketing,D,,,,1,1,,,,,
1352-7266,Journal of Marketing Communications,Marketing,,,,,1,1,,04-Jun,B,,
0273-4753,Journal of Marketing Education,Education,D,,,,2,1,C,04-Mar,B,4,
0267-257X,Journal of Marketing Management,Marketing,C,,3,,2,1,B,04-Apr,A,3,B
0022-2437,Journal of Marketing Research,Marketing,A+,1,1,P*,4*,2,A,09-Jun,A*,1*,A+
1069-6679,Journal of Marketing Theory and Practice,Marketing,C,,4,,2,1,C,3.0,B,4,
0304-4068,Journal of Mathematical Economics,Economics,,,1,,3,1,A,01-Mar,A,2,
0022-2496,Journal of Mathematical Psychology,Psychology,,,,,2,1,,04-May,,,
0304-3932,Journal of Monetary Economics,Economics,,,1,,4,2,A,04-Mar,A*,1,
0022-2879,"Journal of Money, Credit and Banking",F&A,A,,1,P,4,1,A,02-Feb,A*,1,B
1057-9214,Journal of Multi-Criteria Decision Analysis,"OR,MS,POM",B,,4,,1,1,C,03-Apr,B,,
1042-444X,Journal of Multinational Financial Management,F&A,,,4,,2,1,C,04-May,B,4,
0047-259X,Journal of Multivariate Analysis,"OR,MS,POM",,,,,3,2,,02-Feb,A,,B
1049-5142,Journal of Nonprofit and Public Sector Marketing,Marketing,C,,,,1,1,,2.0,B,,
0963-1798,Journal of Occupational and Organizational Psychology,"OS/OB,HRM/IR",B,,2,S,4,2,A,05-Jan,A,2,B
1076-8998,Journal of Occupational Health Psychology,Psychology,,,,,4,2,B,16-Jun,A,2,
0272-6963,Journal of Operations Management,"OR,MS,POM",A,1,1,P*,4*,2,A,08-Jan,A*,1*,A+
0022-3239,Journal of Optimization Theory and Applications,"OR,MS,POM",,,,,3,1,,3.0,A,,B
0894-3796,Journal of Organizational Behavior,"OS/OB,HRM/IR",A,,2,P,4,2,A,11-Aug,A*,1,A
0160-8061,Journal of Organizational Behavior Management,"OS/OB,HRM/IR",,,3,,2,1,B,01-Sep,B,4,
0953-4814,Journal of Organizational Change Management,Gen & Strat,D,,3,S,2,1,B,02-May,B,3,
1091-9392,Journal of Organizational Computing and Electronic Comm,"eMIS, KM",C,,,,1,1,,03-Sep,A,,
,,,,,,,,,,,,,
ISSN,Journal ,Subject area [Range highest to lowest],JourQual ,FT   ,Cnrs ,EJL ,ABS ,Den ,Hceres ,Scopus ,ABDC ,Fnege ,Meta 
,,,2015,2016,2020,2020,2021,2021,2021,CiteSc ,2022,2022,2023
,,, A+-D,1=Y,  1*-4,P*-S,4*-1,02-Jan,   A-C,2021,A*-C,1*-4, A+-B
0885-3134,Journal of Personal Selling and Sales Management,Marketing,B,,4,,2,1,B,04-Apr,A,3,
0022-3514,Journal of Personality and Social Psychology,Psychology,,,,,4,2,,11-Jun,A*,,
0276-8739,Journal of Policy Analysis and Management,PSM,,,2,,3,2,A,05-Sep,A,,B
0161-8938,Journal of Policy Modeling,PSM,,,4,,2,1,C,03-May,A,,
0022-3808,Journal of Political Economy,Economics,A+,1,1*,,4*,3,A,10-Sep,A*,1*,A+
0933-1433,Journal of Population Economics,Economics,,,2,,3,1,A,03-Sep,A,,
0095-4918,Journal of Portfolio Management,F&A,B,,3,S,3,1,B,01-May,A,3,B
0160-3477,Journal of Post Keynesian Economics,Economics,,,2,,2,1,A,01-Jun,B,,
1061-0421,Journal of Product and Brand Management,Marketing,C,,4,,1,1,B,04-Jul,A,4,
0737-6782,Journal of Product Innovation Management,Innovation,A,,1,P,4,2,A,10-Jun,A*,1,A
0895-562X,Journal of Productivity Analysis,"OR,MS,POM",,,3,,2,1,B,03-Jan,A,4,B
2051-8803,Journal of Professions and Organization,OS/OB,,,,,2,2,,03-Mar,A,4,B
1053-1858,Journal of Public Administration Research and Theory,PSM,A,,1,,4,2,A,7.0,A,2,A
1097-3923,Journal of Public Economic Theory,Economics,,,2,,2,1,A,02-Feb,A,,
0047-2727,Journal of Public Economics,Economics,A,,1,,3,2,A,04-Apr,A*,1,A
0143-814X,Journal of Public Policy,PSM,,,,,,2,,02-Aug,B,,
0743-9156,Journal of Public Policy and Marketing,Marketing,B,,2,S,3,2,A,04-Sep,A,2,B
1478-4092,Journal of Purchasing and Supply Management,"OR,MS,POM",B,,3,P,3,1,B,07-Jul,A,3,B
0022-4065,Journal of Quality Technology,"MIS, KM",,,2,,,2,A,03-May,A,3,B
0895-5638,Journal of Real Estate Finance and Economics,F&A,,,3,S,3,1,B,01-Aug,A,3,B
0927-7544,Journal of Real Estate Literature,F&A,,,,,,1,,01-Mar,C,,
0896-5803,Journal of Real Estate Research,F&A,B,,,,,1,,02-Mar,B,,
0022-4146,Journal of Regional Science,Economics,,,2,,3,1,A,03-Jun,A,3,
0922-680X,Journal of Regulatory Economics,Economics,,,2,,2,1,A,02-Jan,A,,
1533-2667,Journal of Relationship Marketing,Marketing,C,,,,1,1,,01-Jul,B,,
1443-458X,Journal of Research and Practice in Information Technolog,"MIS, KM",,,,,,1,,,C,,
0022-4359,Journal of Retailing,Marketing,A,,2,P,4,2,A,11-Aug,A*,1,A
0969-6989,Journal of Retailing and Consumer Services,Marketing,C,,3,S,2,1,B,9.0,A,3,B
0022-4367,Journal of Risk and Insurance,F&A,A,,2,S,3,2,A,03-Jun,A,2,B
0895-5646,Journal of Risk and Uncertainty,Economics,B,,2,S,3,2,A,3.0,A*,2,B
0743-0167,Journal of Rural Studies,PSM,,,,,3,2,,06-Apr,,,
1094-6136,Journal of Scheduling,"OR,MS,POM",A,,3,S,2,2,B,03-Apr,A,,B
1757-5818,Journal of Service Management,"OR,MS,POM",B,,3,,2,1,B,10.0,A,3,B
1094-6705,Journal of Service Research,Marketing,A,,2,P,4,2,A,14-Jan,A*,1,A
2055-6225,Journal of Service Theory and Practice,Marketing,C,,4,,1,1,C,07-Apr,A,4,
0887-6045,Journal of Services Marketing,Marketing,C,,3,,2,1,B,05-Sep,A,3,B
1462-6004,Journal of Small Business and Enterprise Development,Entrep,D,,4,,2,1,C,04-May,C,4,
0047-2778,Journal of Small Business Management,Entrep,B,,2,S,3,2,A,06-Apr,A,2,B
0022-4537,Journal of Social Issues,Sociology,,,,,,2,,08-Feb,A,,
0047-2794,Journal of Social Policy,PSM,,,,,3,2,,04-Jun,A,,B
0022-4545,Journal of Social Psychology,Psychology,B,,,,1,1,,02-Sep,B,,
1532-060X,Journal of Software Maintenance and Evolution,"MIS, KM",,,,,,,,,C,,
0888-4773,Journal of Sport Management,Gen & Strat,,,,,2,1,,04-May,A,4,B
0963-8687,Journal of Strategic Information Systems,"MIS, KM",A,,2,S,4,2,A,17-Apr,A*,2,A
0965-254X,Journal of Strategic Marketing,Marketing,C,,4,,2,1,C,4.0,A,4,
1523-2409,Journal of Supply Chain Management,"OR,MS,POM",B,,2,P,4,2,A,12-Sep,A,2,A
0966-9582,Journal of Sustainable Tourism,Tourism,,,,,3,1,B,08-Mar,A*,3,
0164-1212,Journal of Systems and Software,"MIS, KM",,,,,2,1,,08-Apr,B,,
0092-0703,Journal of the Academy of Marketing Science,Marketing,A,1,1,P*,4*,2,A,17.0,A*,1,A
0004-5411,Journal of the ACM,"MIS, KM",B,,,,,2,,06-Feb,C,,
0162-1459,Journal of the American Statistical Association,Economics,,,,,4,2,,06-Aug,A*,,
0198-9073,Journal of the American Taxation Association,F&A,B,,,,3,,,03-Feb,A,,
1354-7860,Journal of the Asia Pacific Economy,Economics,,,,,1,1,,,B,,
1532-2882,Journal of the Association for Information Science and Tec,"hMIS, KM",,,,,3,2,,,A*,,B
1536-9323,Journal of the Association for Information Systems,"MIS, KM",A,,2,,4*,2,A,06-Feb,A*,1,A
2333-5955,Journal of the Association of Environmental and Resource ,Economics,,,,,3,1,,10-May,A,,
1542-4766,Journal of the European Economic Association,Economics,A,,1,,4,2,A,05-Apr,A*,1,
,,,,,,,,,,,,,
ISSN,Journal ,Subject area [Range highest to lowest],JourQual ,FT   ,Cnrs ,EJL ,ABS ,Den ,Hceres ,Scopus ,ABDC ,Fnege ,Meta 
,,,2015,2016,2020,2020,2021,2021,2021,CiteSc ,2022,2022,2023
,,, A+-D,1=Y,  1*-4,P*-S,4*-1,02-Jan,   A-C,2021,A*-C,1*-4, A+-B
1053-8372,Journal of the History of Economic Thought,Economics,,,2,,2,1,A,01-May,B,4,
0160-5682,Journal of the Operational Research Society,"OR,MS,POM",B,,2,S,3,2,A,04-Jan,A,2,B
1467-985X,Journal of the Royal Statistical Society. Series A: Statistics in,"OR,MS,POM",A,,,,3,1,,03-Jun,A,,B
1467-9868,Journal of the Royal Statistical Society. Series B: Statistical ,"MOR,MS,POM",A,,2,,4,2,A,8.0,A*,,A
1467-9876,Journal of the Royal Statistical Society. Series C: Applied St,"OR,MS,POM",,,,,3,2,,03-Jan,A,,B
0022-5258,Journal of Transport Economics and Policy,Economics,,,3,,2,1,B,02-Jul,A,4,
0966-6923,Journal of Transport Geography,"OR,MS,POM",,,,S,2,2,,06-Aug,A,4,B
1054-8408,Journal of Travel and Tourism Marketing,Tourism,D,,3,,2,1,B,09-Jun,A,3,
0047-2875,Journal of Travel Research,Tourism,,,4,,4,1,A,13-Mar,A*,2,
0094-1190,Journal of Urban Economics,Economics,,,1,,3,2,A,06-Jun,A*,2,
0001-8791,Journal of Vocational Behavior,"OS/OB,HRM/IR",B,,2,P,4,1,A,08-Apr,A*,2,B
1363-6820,Journal of Vocational Education and Training,Education,,,,,1,1,,02-Jun,B,,
1090-9516,Journal of World Business,IB,B,,1,P,4,2,A,10-Aug,A*,1,A
1011-6702,Journal of World Trade,Economics,,,4,,2,2,C,01-Mar,B,,
1930-2975,Judgment and Decision Making,Psychology,,,,,3,1,,03-Feb,A,3,
1092-4604,Knowledge and Process Management,"OR,MS,POM",,,,,1,1,C,02-Jul,B,4,
0950-7051,Knowledge Based Systems,"MIS, KM",,,,,,2,,,A,,
0023-5962,Kyklos,Economics,B,,2,,3,1,A,02-Aug,A,3,B
0023-656X,Labor History,"OS/OB,HRM/IR",,,4,,2,2,C,0.8,A,4,B
0160-449X,Labor Studies Journal,"OS/OB,HRM/IR",,,,,2,1,,0.9,B,,
1121-7081,Labour,Economics,,,3,,1,1,B,01-Mar,B,,
0927-5371,Labour Economics,Economics,B,,2,,3,2,A,02-May,A,2,B
0023-6942,Labour History,Gen & Strat,,,4,,,1,C,,A,4,
0023-7639,Land Economics,Economics,,,2,,3,1,A,3.0,A,3,
0271-5309,Language and Communication,Comm,,,,,,1,,02-Jun,B,,
1742-7150,Leadership,"OS/OB,HRM/IR",D,,4,,2,1,C,03-Feb,B,4,
0143-7739,Leadership and Organization Development Journal,Gen & Strat,,,4,,1,1,C,04-Jan,B,4,
1048-9843,Leadership Quarterly,"OS/OB,HRM/IR",A,,2,P,4,2,A,13-Feb,A*,1,A
0149-0400,Leisure Sciences,Tourism,,,,,2,1,,03-Jul,A,3,
0269-0942,Local Economy,PSM,,,,,2,1,C,01-Aug,C,4,
0300-3930,Local Government Studies,PSM,,,3,,2,2,B,03-Jun,A,3,B
0024-6301,Long Range Planning,Gen & Strat,B,,2,P,3,2,A,11-May,A,2,B
1286-4692,M@n@gement,Gen & Strat,C,,2,,1,1,A,,B,2,
1365-1005,Macroeconomic Dynamics,Economics,,,2,,2,1,A,01-Apr,A,3,
1044-5005,Management Accounting Research,F&A,A,,1,P,3,2,A,05-Jun,A*,1,A
1740-8776,Management and Organization Review,Gen & Strat,C,,3,S,3,1,B,03-Jun,A,3,B
0893-3189,Management Communication Quarterly,Gen & Strat,,,4,S,2,2,B,3.0,B,4,B
0025-1747,Management Decision,Gen & Strat,C,,4,,2,1,B,05-May,B,4,
0938-8249,Management International Review,IB,B,,3,S,3,1,B,04-May,A,3,B
1350-5076,Management Learning,Gen & Strat,B,,3,S,3,2,A,03-Sep,A,2,B
0025-1909,Management Science,"OR,MS,POM",A+,1,1*,P*,4*,2,A,07-Feb,A*,1*,A+
0143-6570,Managerial and Decision Economics,Economics,B,,3,,2,1,B,01-Feb,B,3,
0268-6902,Managerial Auditing Journal,F&A,C,,4,,2,1,B,03-Jan,A,3,
0307-4358,Managerial Finance,F&A,,,4,,1,1,C,01-May,B,4,
1463-6786,Manchester School,Economics,,,3,,2,1,B,01-Mar,B,,
1523-4614,Manufacturing and Service Operations Management,"OR,MS,POM",A,1,2,P*,3,2,A,8.0,A*,1,A
0308-597X,Marine Policy,Economics,,,,,2,2,,05-Aug,A,4,
1479-2931,Maritime Economics and Logistics,Economics,,,,S,1,1,,04-Feb,B,,
0263-4503,Marketing Intelligence and Planning,Marketing,D,,,,1,1,,04-Apr,A,,
0923-0645,Marketing Letters,Marketing,B,,2,P,3,2,A,03-May,A,2,B
0732-2399,Marketing Science,Marketing,A+,1,1,P*,4*,2,A,06-Mar,A*,1*,A+
1470-5931,Marketing Theory,Marketing,C,,3,,3,2,B,5.0,A,3,B
0960-1627,Mathematical Finance,F&A,B,,2,S,3,2,A,04-Feb,A,2,B
1432-2994,Mathematical Methods of Operations Research,"OR,MS,POM",B,,3,,1,2,B,01-Sep,,,
0025-5610,Mathematical Programming,"OR,MS,POM",A,,,,4,2,,06-Aug,,,
0165-4896,Mathematical Social Sciences,Economics,,,2,,2,1,A,01-Mar,A,,
0364-765X,Mathematics of Operations Research,"OR,MS,POM",A,,1,,3,2,A,03-Jun,A,,B
,,,,,,,,,,,,,
ISSN,Journal ,Subject area [Range highest to lowest],JourQual ,FT   ,Cnrs ,EJL ,ABS ,Den ,Hceres ,Scopus ,ABDC ,Fnege ,Meta 
,,,2015,2016,2020,2020,2021,2021,2021,CiteSc ,2022,2022,2023
,,, A+-D,1=Y,  1*-4,P*-S,4*-1,02-Jan,   A-C,2021,A*-C,1*-4, A+-B
0163-4437,"Media, Culture and Society",Comm,,,,,,2,,04-Apr,B,,
0887-378X,Milbank Quarterly,PSM,,,2,,3,1,A,4.0,B,2,B
1540-1960,MIS Quarterly Executive,"MIS, KM",B,,,M,2,2,B,11-Jun,A,3,B
0276-7783,MIS Quarterly: Management Information Systems,"MIS, KM",A+,1,1*,P*,4*,2,A,14-Jul,A*,1*,A+
1532-9194,MIT Sloan Management Review,Gen & Strat,C,1,,M*,3,2,A,04-Jun,A,2,B
0098-1818,Monthly Labor Review,"OS/OB,HRM/IR",,,4,,,,C,0.7,B,,
1525-383X,Multinational Business Review,IB,C,,3,M,2,,B,04-Aug,B,4,
0027-3171,Multivariate Behavioral Research,Psychology,B,,,,,1,,04-May,A,,
0027-9501,National Institute Economic Review,Economics,,,,,1,1,,01-May,B,,
0028-0283,National Tax Journal,Economics,A,,2,,2,1,A,,A,,B
0894-069X,Naval Research Logistics,"OR,MS,POM",B,,3,S,3,1,B,01-Aug,B,,B
0748-4526,Negotiation Journal,Gen & Strat,C,,,,2,1,,0.8,B,4,
0268-1072,"New Technology, Work and Employment","OS/OB,HRM/IR",,,,S,3,1,,05-Feb,A,3,B
0899-7640,Nonprofit and Voluntary Sector Quarterly,PSM,B,,3,S,3,1,B,03-May,A,2,B
1048-6682,Nonprofit Management & Leadership,PSM,B,,,,1,1,,03-Mar,B,4,
1092-0277,North American Actuarial Journal,F&A,,,4,,2,1,B,01-Jun,A,3,
0305-0483,OMEGA,"OR,MS,POM",B,,2,P,3,2,A,11-Jul,A,3,B
0030-364X,Operations Research,"OR,MS,POM",A+,1,1,P*,4*,2,A,04-Mar,A*,1*,A
0167-6377,Operations Research Letters,"OR,MS,POM",B,,2,S,2,2,A,01-Jul,A,,B
0171-6468,OR Spectrum,"OR,MS,POM",A,,3,S,3,1,B,,B,,B
1350-5084,Organization,"OS/OB,HRM/IR",B,,1,S,3,2,A,04-Aug,A,2,B
1086-0266,Organization and Environment,Gen & Strat,B,,2,S,3,2,A,05-Aug,A,3,B
1047-7039,Organization Science,"OS/OB,HRM/IR",A+,1,1,P*,4*,2,A,05-Jun,A*,1*,A+
0170-8406,Organization Studies,"OS/OB,HRM/IR",A,1,1,P*,4,2,A,07-Jul,A*,1,A
0749-5978,Organizational Behavior and Human Decision Processes,"OS/OB,HRM/IR",A,1,1,P*,4,2,A,04-Jun,A*,1,A
0090-2616,Organizational Dynamics,"OS/OB,HRM/IR",C,,2,S,3,1,A,02-Aug,A,2,B
2041-3866,Organizational Psychology Review,"OS/OB,HRM/IR",,,,,2,1,C,06-Jan,A,4,B
1094-4281,Organizational Research Methods,Gen & Strat,A,,2,P,4,2,A,13-Jul,A*,1,A
0305-9049,Oxford Bulletin of Economics and Statistics,Economics,,,2,,3,1,A,02-Feb,A,3,
0030-7653,Oxford Economic Papers,Economics,,,2,,3,1,A,2.0,A,3,
0266-903X,Oxford Review of Economic Policy,Economics,,,3,,2,1,B,07-Sep,A,,
0927-538X,Pacific Basin Finance Journal,F&A,,,4,S,2,1,B,03-Feb,A,3,B
1361-374X,Pacific Economic Review,Economics,,,3,,2,1,B,01-Apr,B,,
1056-8190,Papers in Regional Science,Economics,,,2,,3,1,A,03-Aug,A,3,
0191-8869,Personality and Individual Differences,Psychology,,,,,3,2,,04-Sep,A,,
0146-1672,Personality and Social Psychology Bulletin,Psychology,,,,,4,1,,06-Jan,A*,,
0031-5826,Personnel Psychology,"OS/OB,HRM/IR",A,,1,P,4*,2,A,10-Jun,A*,1,A
0048-3486,Personnel Review,"OS/OB,HRM/IR",D,,3,S,2,1,B,03-Aug,A,3,B
0031-8248,Philosophy of Science,Sociology,A,,,,,2,,01-Sep,,,
0305-5736,Policy and Politics,PSM,,,2,,3,2,A,05-Sep,A,3,B
0032-2687,Policy Sciences,PSM,,,,,1,2,,06-Mar,B,,B
0144-2872,Policy Studies,Gen & Strat,,,,,2,1,,02-Sep,B,,
0190-292X,Policy Studies Journal,PSM,,,,,,2,,07-Aug,B,,
1058-4609,Political Communication,Comm,,,,,,2,,08-Apr,A,,
1538-165X,Political Science Quarterly,PSM,,,,,,1,,02-Jun,A,,
0032-3217,Political Studies,Sociology,,,,,2,2,,4.0,B,,
1743-923X,Politics & Gender,Sociology,,,,,,2,,01-Aug,A,,
0032-3292,Politics and Society,PSM,,,,,3,2,,03-Feb,B,,B
1544-8444,"Population, Space and Place",Sociology,,,,,,1,,5.0,A,,
1059-1478,Production and Operations Management,"OR,MS,POM",A,1,,P*,4,2,A,05-Jul,A*,1,A
0953-7287,Production Planning and Control,"OR,MS,POM",C,,2,,3,2,A,08-Feb,A,2,B
0309-1325,Progress in Human Geography,Sociology,,,,,3,2,,12-Jul,,,
8756-9728,Project Management Journal,Gen & Strat,C,,3,,1,2,B,05-Jan,B,4,B
0810-9028,Prometheus,Comm,,,,,2,1,,,B,,
0033-2909,Psychological Bulletin,Psychology,,,,,4,2,,38.8,A*,,
1082-989X,Psychological Methods,Psychology,,,,,,2,,17.0,,,
0340-0727,Psychological Research,Psychology,,,,,3,2,,04-Mar,A,,
,,,,,,,,,,,,,
ISSN,Journal ,Subject area [Range highest to lowest],JourQual ,FT   ,Cnrs ,EJL ,ABS ,Den ,Hceres ,Scopus ,ABDC ,Fnege ,Meta 
,,,2015,2016,2020,2020,2021,2021,2021,CiteSc ,2022,2022,2023
,,, A+-D,1=Y,  1*-4,P*-S,4*-1,02-Jan,   A-C,2021,A*-C,1*-4, A+-B
0033-295X,Psychological Review,Psychology,,,,,4,2,,13-Aug,A*,,
0956-7976,Psychological Science,Psychology,,,,,4*,2,,10-Mar,A*,,
0742-6046,Psychology and Marketing,Marketing,B,,3,S,3,2,A,04-May,A,2,B
0361-6843,Psychology of Women Quarterly,"OS/OB,HRM/IR",,,,,3,1,,04-Jul,A,,B
0033-3123,Psychometrika,Psychology,,,,,3,2,,03-Jul,,,
0033-3298,Public Administration,PSM,B,,3,S,4,2,B,03-Sep,A,2,B
0271-2075,Public Administration and Development,PSM,,,3,,2,1,B,02-Aug,A,3,
0734-9149,Public Administration Quarterly,PSM,C,,,,1,1,,,A,,
0033-3352,Public Administration Review,PSM,B,,1,S,4*,2,A,07-Mar,A,1,A
0048-5829,Public Choice,PSM,,,1,,3,2,A,02-Jan,A,,B
1091-1421,Public Finance Review,Economics,B,,4,,,1,C,01-May,B,,
1471-9037,Public Management Review,PSM,,,2,,4,2,A,06-Apr,A,3,B
0954-0962,Public Money and Management,PSM,C,,3,,2,1,B,02-Mar,B,3,
0033-362X,Public Opinion Quarterly,Marketing,,,,,3,2,,05-Jan,A,,B
0363-8111,Public Relations Review,Marketing,,,,,,1,,05-Jun,A,,
0963-6625,Public Understanding of Science,Innovation,,,,,,2,,05-Mar,,,
1352-2752,Qualitative Market Research,Marketing,C,,4,,2,1,C,02-May,B,4,
1176-6093,Qualitative Research in Accounting and Management,F&A,,,4,,2,1,C,2.0,A,4,
0033-5177,Quality and Quantity,"OR,MS,POM",,,,,,1,,04-Jun,B,,
1068-6967,Quality Management Journal,"OR,MS,POM",,,4,,,1,C,02-Mar,B,,
1759-7323,Quantitative Economics,Economics,,,1,,4,2,A,3.0,A*,,
1469-7688,Quantitative Finance,F&A,B,,3,S,3,1,B,02-Aug,A,3,B
1570-7156,Quantitative Marketing and Economics,Marketing,B,,3,P,3,2,A,01-Sep,A,2,B
0033-5533,Quarterly Journal of Economics,Economics,,1,1*,,4*,3,A,21-Mar,A*,1*,
1747-0218,Quarterly Journal of Experimental Psychology,Psychology,,,,,3,1,,03-Sep,A,,
2010-1392,Quarterly Journal of Finance,F&A,,,,,1,,,01-Aug,A,,
0747-5535,Quarterly Journal of Finance and Accounting,Economics,,,,,,1,,,B,,
1062-9769,Quarterly Review of Economics and Finance,Economics,B,,3,,2,1,B,03-Feb,B,4,
0257-0130,Queueing Systems,"OR,MS,POM",,,,,2,1,,01-Aug,,,
0033-6807,R and D Management,Innovation,B,,3,S,3,2,A,06-Jun,A,2,B
0741-6261,RAND Journal of Economics,Economics,A,,1,,4,2,A,3.0,A*,1,A
1080-8620,Real Estate Economics,Economics,,,3,S,3,1,B,03-Feb,A,3,
0166-0462,Regional Science and Urban Economics,Economics,,,2,,3,1,A,03-Mar,A,3,
0034-3404,Regional Studies,PSM,,,2,,4,2,A,7.0,A*,2,A
1748-5991,Regulation and Governance,PSM,,,,,3,,,05-May,A,,
0951-8320,Reliability Engineering and System Safety,"OR,MS,POM",,,,,3,1,,09-Mar,A,,B
1052-0457,Research in Accounting Regulation,F&A,C,,,,2,,,,B,,
0275-5319,Research in International Business and Finance,F&A,,,4,,2,1,C,04-Sep,B,3,
0191-3085,Research in Organizational Behavior,"OS/OB,HRM/IR",B,,2,,3,1,A,08-May,A,2,B
0742-7301,Research in Personnel and Human Resources Manageme,"OS/OB,HRM/IR",,,,,1,,,02-Jul,,,
0733-558X,Research in the Sociology of Organizations,Sociology,B,,3,,3,1,,02-Aug,A,,B
0048-7333,Research Policy,Economics,A,1,1,P*,4*,2,A,11-Apr,A*,1*,A
0895-6308,Research Technology Management,"OR,MS,POM",C,,,S,2,1,,03-Mar,A,3,B
1380-6653,Review of Accounting Studies,F&A,A,1,2,P*,4,2,A,05-Mar,A*,1,A
2045-9920,Review of Asset Pricing Studies,F&A,,,,PA,3,2,C,02-Aug,A*,4,A
2046-9128,Review of Corporate Finance Studies,F&A,,,,PA,3,2,B,4.0,A*,3,A
1380-6645,Review of Derivatives Research,F&A,A,,4,,2,1,B,1.0,B,3,
1094-2025,Review of Economic Dynamics,Economics,,,2,,3,2,A,02-Aug,A*,2,
0034-6527,Review of Economic Studies,Economics,,1,1*,,4*,3,A,07-Aug,A*,1*,
0034-6535,Review of Economics and Statistics,Economics,,,1,,4,2,A,08-Mar,A*,1,
1569-5239,Review of Economics of the Household,Economics,,,3,,2,1,B,02-May,A,,
1572-3097,Review of Finance,F&A,A,1,1,P*,4,2,A,06-Jun,A*,1,A
1058-3300,Review of Financial Economics,F&A,B,,4,,1,1,C,01-Jun,B,4,
0893-9454,Review of Financial Studies,F&A,A+,1,1,P*,4*,2,A,09-Feb,A*,1*,A+
1475-4991,Review of Income and Wealth,Economics,,,2,,3,1,A,03-Jan,A,,
0889-938X,Review of Industrial Organization,Economics,,,2,S,2,1,A,01-Mar,A,3,
0965-7576,Review of International Economics,Economics,,,2,,2,1,A,01-Feb,A,3,
,,,,,,,,,,,,,
ISSN,Journal ,Subject area [Range highest to lowest],JourQual ,FT   ,Cnrs ,EJL ,ABS ,Den ,Hceres ,Scopus ,ABDC ,Fnege ,Meta 
,,,2015,2016,2020,2020,2021,2021,2021,CiteSc ,2022,2022,2023
,,, A+-D,1=Y,  1*-4,P*-S,4*-1,02-Jan,   A-C,2021,A*-C,1*-4, A+-B
1863-6683,Review of Managerial Science,Gen & Strat,B,,4,,2,1,C,6.0,,4,
0924-865X,Review of Quantitative Finance and Accounting,F&A,B,,4,,3,1,B,02-Jun,B,3,
0034-6764,Review of Social Economy,Economics,,,3,,2,1,B,01-Jun,B,,
1610-2878,Review of World Economics,Economics,,,2,,2,1,A,01-Jul,B,,
