paper,metric,metric_type,value,lo,hi,rationale,scale_min,scale_max
Carson et al. 2023,logic_communication,percentile,86.0,80.0,92.0,"Goals, assumptions, and hypotheses are explicit. Design and randomization are clear; analyses and robustness well explained; tables/figures align with narrative. Limitations noted. Logical flow from theory to evidence to implications is strong.",0,100
Carson et al. 2023,open_science,percentile,60.0,45.0,70.0,"Design and estimation details are clear; a data appendix is provided. However, no clear public release of full microdata/code; replication may be constrained by confidentiality. Reasonable transparency for methods but limited full reproducibility.",0,100
Carson et al. 2023,global_relevance,percentile,73.0,62.0,82.0,"Highly relevant to global research funding policy; practical insights (use variance, expert weighting, budget effects) could shift large allocations. Focused on NIH/biomed; limited cross-domain quantification and no direct cost–benefit estimates.",0,100
Carson et al. 2023,tier_should,tier,4.2,3.6,4.7,"Strong, policy-relevant science-of-science with rigorous experimental design and careful analysis. Merits a top field outlet (e.g., Management Science/Research Policy/PNAS-type). Lacks hard outcome validation for generalist flagship journals.",0,5
Carson et al. 2023,tier_will,tier,3.9,3.2,4.5,"Likely to place in a strong/top field journal in management/science policy/econ of science. Generalist A-journals less likely given stated-preference design and no outcome data, though high-profile field outlets are plausible.",0,5
Caviola et al. 2022,overall,percentile,84.0,76.0,90.0,"Nine well-powered experiments systematically probe population-ethics intuitions. Multiple preregistrations, converging manipulations, transparent reporting. Limits: US online samples, hypothetical vignettes, scale comprehension/construct validity concerns, external validity. Still a substantial, coherent contribution.",0,100
Caviola et al. 2022,claims_evidence,percentile,82.0,74.0,90.0,"Questions are explicit (valence asymmetry, average vs total, creation value). Evidence is multi-pronged and generally strong; reflection manipulations support interpretation. Alternative explanations and limits discussed. Some comprehension failures and reliance on self-reports reduce strength.",0,100
Caviola et al. 2022,methods,percentile,79.0,70.0,86.0,"Random assignment, attention checks, power analyses, appropriate t-tests/ANOVAs; several preregistrations; OSF materials. Main weaknesses: hypothetical ratings, MTurk/Prolific convenience samples, framing/scale interpretation, limited external validity. Robust within these constraints.",0,100
Caviola et al. 2022,advancing_knowledge,percentile,77.0,68.0,86.0,"Provides one of the first systematic psychological mappings of population-ethics intuitions; clarifies patterns (suffering overweight, averagism vs totalism, intuition vs reflection). Valuable to moral psychology/philosophy. Less direct for interventions; generalizability bounded to vignettes.",0,100
Caviola et al. 2022,logic_communication,percentile,88.0,82.0,94.0,"Goals, constructs, and assumptions are clear; reasoning transparent and consistent with evidence; limitations candid. Figures/tables aid comprehension. Minor residual ambiguity around happiness-scale interpretation.",0,100
Caviola et al. 2022,open_science,percentile,93.0,88.0,98.0,"Data/materials/code shared; multiple preregistrations; full reporting of measures, exclusions, and power justifications. Replication feasible; high transparency and integrity.",0,100
Caviola et al. 2022,global_relevance,percentile,66.0,52.0,78.0,Indirectly informs global priorities via empirical inputs to population ethics/longtermism. No direct policy tests or quantified impacts; US-centric samples and hypothetical contexts limit immediate applicability.,0,100
Caviola et al. 2022,tier_should,tier,4.3,3.8,4.7,"On merit, fits a top field journal: rigorous, transparent, and novel empirical contribution at the psychology–ethics interface. Not a methodological breakthrough or direct policy study, but strong execution and clarity.",0,5
Caviola et al. 2022,tier_will,tier,4.2,3.6,4.7,"Given rigor, novelty, and breadth, likely to publish in a strong/top field cognitive or moral psychology outlet. Some risk from external-validity and construct concerns, but overall strong publishability.",0,5
Chuard et al. 2022,overall,percentile,78.0,70.0,86.0,"Strong, careful head-to-head of epidemiological accounting vs reduced-form methods around US measles vaccine. Predictive validation, extensive checks, and transparent nulls. Reduced-form results robust and policy-relevant. Limits: inferred reporting rates, national vaccine series, migration/measurement error, moderate novelty.",0,100
Chuard et al. 2022,claims_evidence,percentile,80.0,72.0,88.0,"Claims are clear and testable: SIR-based infection shares vs mortality-based reduced form for long-run outcomes. Evidence includes predictive checks, cohort regressions with FE/trends, Bartik, and mortality validation. Characterizes limitations. Remaining concerns: national rollout data, reporting-rate estimation, residual confounding.",0,100
Chuard et al. 2022,methods,percentile,73.0,65.0,82.0,"Dynamic accounting grounded in SIR; reporting-rate correction; distributes cases by susceptibles; validated by outbreak prediction. Econometrics standard (state/cohort/age FE, clustering). Sensitivity across key parameters. Assumptions (age-invariant risk, no migration, birth-year error) and lack of state vaccine data may bias. RF relies on parallel trends.",0,100
Chuard et al. 2022,advancing_knowledge,percentile,75.0,67.0,83.0,Clarifies when epidemiological modeling helps (short-run prediction) and when reduced-form severity proxies better capture human-capital effects. Provides useful guidance for applied micro and vaccine policy. Adds evidence alongside contemporaneous work; contribution is incremental rather than a breakthrough.,0,100
Chuard et al. 2022,logic_communication,percentile,82.0,74.0,90.0,"Goals and contrasts are clear; assumptions and construction of measures explained; figures/tables support arguments; null and counterintuitive signs discussed candidly. Some implementation details (mobility handling, more formal diagnostics) could be expanded but overall communication is strong.",0,100
Chuard et al. 2022,open_science,percentile,55.0,40.0,70.0,"Data sources are public and well referenced; construction steps described. However, no explicit replication package/code release or shared constructed panels is evident. Some choices (reporting-rate estimation functions) would benefit from code and metadata to ensure reproducibility.",0,100
Chuard et al. 2022,global_relevance,percentile,72.0,62.0,82.0,"Vaccination and disease-elimination valuation matter globally. Results emphasize benefits where disease severity is high, guiding LMIC prioritization and maintenance of coverage. Evidence is US-focused and doesn’t quantify costs/benefits, limiting immediate policy calculus but still practically informative.",0,100
Chuard et al. 2022,tier_should,tier,3.8,3.0,4.5,"Merits a strong field or marginal top-field outlet in applied micro/health (clear question, credible methods, robust results, policy relevance). Novelty is moderate and some identification/data limitations remain, likely keeping it below a top general-interest journal.",0,5
Chuard et al. 2022,tier_will,tier,3.6,2.8,4.2,"Likely to place in a top field/strong B journal in health/applied micro. Solid execution and relevance, but incremental contribution and data limitations may limit reach to marginal A. Some chance of lower if referees emphasize identification concerns; some chance higher if framed for health econ.",0,5
Clancy 2024,overall,percentile,86.0,78.0,92.0,"Ambitious, careful quantitative synthesis linking returns to science with biorisk. Transparent modeling, extensive sensitivity analyses, integration of forecasting evidence, and strong policy relevance. Main limitations: reliance on strong assumptions and rough calibrations, partial reproducibility. Still high-quality and influential work.",0,100
Clancy 2024,claims_evidence,percentile,84.0,75.0,90.0,"Core questions explicit; quantitative answers with clear premises. Uses multiple scenarios, break-evens, and sensitivity checks; uncertainty and scope limits are stated. Evidence is largely indirect (forecasts, historical trends, stylized parameters) with limited empirical validation or out-of-sample checks.",0,100
Clancy 2024,methods,percentile,78.0,68.0,86.0,"Tractable welfare models with novel elements (epistemic-regime discounting, time-of-perils, extinction module). Solid decomposition and robustness checks. Some key parameters are judgment-based (lags, science shares, diffusion), and external forecasts drive results; code availability is unclear.",0,100
Clancy 2024,advancing_knowledge,percentile,85.0,76.0,92.0,"Substantial contribution to metascience and biosecurity policy: actionable thresholds, ROI estimates, and a clear framework to weigh growth vs risk. Connects growth/health economics with GCR forecasting. Less novel mathematically, but high added value for decision-making.",0,100
Clancy 2024,logic_communication,percentile,88.0,80.0,94.0,"Very clear structure, transparent assumptions, and derivations; appendices bridge steps; uncertainty and caveats prominent. Figures/tables are helpful. Some length and repetition; a few parameter choices could be more tightly justified or summarized.",0,100
Clancy 2024,open_science,percentile,58.0,45.0,70.0,"Equations and parameter sources are detailed; spreadsheets are referenced. However, full replication materials (code/data for the Python model and calculations) do not appear to be provided. Releasing code/notebooks and data would materially improve reproducibility.",0,100
Clancy 2024,global_relevance,percentile,92.0,85.0,97.0,"Directly relevant to philanthropy, metascience, and biosecurity. Produces decision-relevant thresholds and ROI ranges, considers extinction risk, and discusses policy levers (accelerate, race to safety). High salience for global priorities and practitioners.",0,100
Clancy 2024,tier_should,tier,3.6,3.0,4.2,"On merit, suitable for a strong field journal at the econ/technology-policy interface given rigor, transparency, and policy salience. Heavy reliance on forecasts and limited empirical tests may preclude a top general journal but justifies high field-level placement.",0,5
Clancy 2024,tier_will,tier,2.8,2.0,3.5,"Given report-style framing, limited empirical testing, and incomplete replication package, publication most likely in a decent-to-strong field/policy journal or as a well-cited institutional report rather than a top field or general journal.",0,5
Crawfurd et al. 2023,overall,percentile,84.0,78.0,90.0,"Comprehensive, careful meta-analysis tying lead exposure to learning with transparent adjustments (publication bias, covariates, Oster bounds), inclusion of quasi-experimental evidence, and policy simulations. Main limitations: observational base, re-expression of coefficients, high heterogeneity, some imputations/data gaps.",0,100
Crawfurd et al. 2023,claims_evidence,percentile,86.0,80.0,92.0,Clear primary claims; extensive evidence synthesis across IQ and test scores; adjusts for observed confounders and publication bias; compares with IV studies; sensitivity via Oster. Characterizes evidence cautiously as non-experimental. Remaining risks from observational bias and measurement/transformations.,0,100
Crawfurd et al. 2023,methods,percentile,83.0,75.0,88.0,"Systematic search; dual extraction; robust variance estimation; PET-PEESE, Egger, trim-and-fill; evaluation and choice of re-expression algorithm using microdata; heterogeneity explored. Constraints: reliance on reported summaries, imputations, potential bias from re-expression, residual small-study effects.",0,100
Crawfurd et al. 2023,advancing_knowledge,percentile,82.0,75.0,90.0,"Extends prior IQ-focused work to reading/math, provides LMIC-focused effect sizes and simulations quantifying learning-gap contributions; compiles actionable benchmarks for interventions. Not groundbreaking methodologically but highly useful for policy and prioritization.",0,100
Crawfurd et al. 2023,logic_communication,percentile,88.0,82.0,94.0,"Goals, assumptions, and specifications are explicit; figures (forest, funnel, spec curve) support arguments; reasoning links adjustments to conclusions; limitations discussed. Some technical density, but narrative remains coherent and policy-relevant.",0,100
Crawfurd et al. 2023,open_science,percentile,56.0,35.0,70.0,"Procedures and assumptions are described in detail with appendices. However, no explicit provision of full replication code/data evident; several imputations reduce reproducibility. Replication feasible with effort but not turnkey.",0,100
Crawfurd et al. 2023,global_relevance,percentile,91.0,85.0,97.0,Directly relevant to global education and environmental health policy; quantifies plausible learning gains and links to feasible interventions; provides magnitudes usable by practitioners and funders; communicates implications clearly.,0,100
Crawfurd et al. 2023,tier_should,tier,4.2,3.6,4.6,"Merits top field/marginal A-journal in development/public health/environmental health: strong synthesis, careful bias adjustments, clear policy value. Novelty moderate but impact high.",0,5
Crawfurd et al. 2023,tier_will,tier,3.8,3.2,4.3,"Likely placement in strong field journal (development, environmental health, public health) or marginal top field. High policy relevance but meta-analytic/observational focus may limit A-journal odds.",0,5
Denkenberger et al. 2022,overall,percentile,72.0,60.0,82.0,"Timely, policy-relevant comparison with clear structure, two parameterizations, and sensitivity work. However, results hinge on speculative priors, a small potentially biased expert survey, independence and time-horizon assumptions, and limited external validation. Informative and thought-provoking, but fragile in places.",0,100
Denkenberger et al. 2022,claims_evidence,percentile,60.0,45.0,75.0,"Main claim—resilient foods are more cost-effective at the margin than AGI safety—is supported within their Monte Carlo framework and sensitivity analyses. Yet key inputs are subjective, survey N is small, and differing horizons/metrics (per $ vs per researcher) complicate inference. Confidence values reflect assumed distributions, not empirical frequencies.",0,100
Denkenberger et al. 2022,methods,percentile,57.0,40.0,70.0,"Approach (Monte Carlo/Latin hypercube, beta/lognormal priors, parameter tables) is transparent and reasonable for deep uncertainty. But core parameters are weakly grounded; survey design risks bias; submodels treated as independent; time-horizon mismatch; limited calibration/validation. Robustness checks help but cannot offset structural fragility.",0,100
Denkenberger et al. 2022,advancing_knowledge,percentile,72.0,60.0,85.0,"Among the first quantitative longtermist CE comparisons of resilient foods vs AGI safety. Integrates literature, highlights levers, and surfaces research priorities. Even if conclusions are uncertain, it advances discussion and provides a reusable framing/tool for funders and DRR planners.",0,100
Denkenberger et al. 2022,logic_communication,percentile,74.0,65.0,85.0,"Clear goals, explicit assumptions, well-labeled figures/tables, and a thorough uncertainty discussion. Reasoning is mostly transparent and consistent with evidence presented. Some conflation of modeled probabilities with real-world confidence and occasional dense exposition, but overall strong.",0,100
Denkenberger et al. 2022,open_science,percentile,62.0,45.0,75.0,"Guesstimate models and parameter ranges are shared; methods sufficiently described to approximate replication. However, full Analytica code/data are by request, survey microdata are limited, and exact reproducibility is only moderate. Useful as a building block but not fully open.",0,100
Denkenberger et al. 2022,global_relevance,percentile,86.0,75.0,95.0,"Directly targets high-stakes global priorities: food resilience under sun-blocking events and existential risk portfolio. Produces actionable takeaways on timing, funding, and R&D planning. Communicates implications for practitioners and funders, with quantified estimates and sensitivities.",0,100
Denkenberger et al. 2022,tier_should,tier,3.4,2.7,4.0,"Strong applied contribution with clear policy relevance, careful caveats, and a novel comparative framework. Methods’ speculative elements and survey limitations likely preclude top general journals but fit well in strong field journals focused on risk/disaster policy or GCR.",0,5
Denkenberger et al. 2022,tier_will,tier,3.2,2.5,3.8,"Given topic relevance to disaster risk reduction and GCR, plus clear presentation, publication in a top B/strong field journal is likely. Structural uncertainties and subjective inputs may limit ascent to marginal A-journals absent additional validation or data.",0,5
Dullaghan and Zhang 2022,overall,percentile,68.0,58.0,77.0,"Well-executed applied forecasting on cultured meat trajectories; transparent and cautious claims; synthesizes TEAs and expert forecasts; small, selected panel and time-limited elicitation limit robustness; still useful for strategic decisions; open materials and clear cruxes increase credibility.",0,100
Dullaghan and Zhang 2022,claims_evidence,percentile,72.0,62.0,82.0,"Questions and claims are explicit; results framed probabilistically with caveats; evidence draws on TEAs and a curated forecasting panel; acknowledges errors and uncertainty; limits include small N, potential selection bias, and reliance on secondary sources for some inputs.",0,100
Dullaghan and Zhang 2022,methods,percentile,56.0,45.0,66.0,"Structured elicitation with independent forecasts and geometric-mean-of-odds aggregation; signpost design and basic correlation analysis. Limited by small panel, short forecasting window, few robustness/sensitivity checks, no calibration/backtesting, and some wording ambiguities.",0,100
Dullaghan and Zhang 2022,advancing_knowledge,percentile,69.0,58.0,78.0,Clarifies realistic production timelines; counters overly optimistic narratives; provides decision-relevant signposts and R&D levers; likely to inform funding strategy in animal welfare. Contribution is more integrative than novel; applicability strongest within alt-protein/EA practice.,0,100
Dullaghan and Zhang 2022,logic_communication,percentile,74.0,64.0,83.0,"Goals, definitions, and cruxes are clear; reasoning is transparent; tables/figures aid comprehension; conclusions match evidence. Minor issues: 51% definition ambiguity and an input-wording error, both noted with commendable transparency.",0,100
Dullaghan and Zhang 2022,open_science,percentile,71.0,61.0,81.0,"Shares anonymized forecasts, reasoning, and some code/data; references and materials documented for replication; clear methods description. Not preregistered; some analyses rely on external spreadsheets and partial code availability.",0,100
Dullaghan and Zhang 2022,global_relevance,percentile,70.0,60.0,80.0,Salient for farmed-animal welfare strategy and public R&D prioritization; quantifies timelines and signposts with practical implications. Less detail on implementation pathways or cost-benefit; focus on probabilities over policy design.,0,100
Dullaghan and Zhang 2022,tier_should,tier,2.8,2.2,3.4,"As an applied forecasting study, merits a strong field journal if adapted (clear framing, useful insights). Methods limits (small N, limited validation) likely cap it below top field. With added calibration/sensitivity and expanded data, could reach upper B-tier.",0,5
Dullaghan and Zhang 2022,tier_will,tier,2.1,1.5,2.7,"Given its current report/brief format, it is more likely to remain as a public report or land in a decent applied/field outlet. Without substantial methodological expansion or new data, unlikely to reach top field journals.",0,5
Epperson and Gerster 2024,overall,percentile,86.0,78.0,92.0,"Strong mixed lab–field design identifies causal short-run effects of willful ignorance on meat consumption and fade-out; heterogeneity well characterized. Methods transparent and pre-registered. Limits: student sample, N below prereg goal, outcomes limited to canteen behavior, effects short-lived.",0,100
Epperson and Gerster 2024,claims_evidence,percentile,85.0,77.0,91.0,"Claims (avoidance is consequential; avoiders respond more; effects decay) are clear and matched to evidence via WTP-based assignment/IPW, lab-field replication, and time dynamics. Placebos/robustness support. Mechanism (affect) is exploratory and not causal; some field heterogeneity tests are imprecise.",0,100
Epperson and Gerster 2024,methods,percentile,84.0,75.0,90.0,"Innovative WTP-based randomization with IPW satisfies identification; preregistration, placebos, and robustness (empirical/theoretical propensities, WLS). Careful outcome definitions. Risks: student sample, meal misclassification, limited power (COVID truncation), deviation from prereg to moving windows (well-justified).",0,100
Epperson and Gerster 2024,advancing_knowledge,percentile,82.0,72.0,90.0,"Advances evidence that willful ignorance matters in real decisions; quantifies short-lived effects, heterogeneity by information preference, and cost-effectiveness; offers design guidance. External validity beyond students/VR/meat domain and persistence remain open.",0,100
Epperson and Gerster 2024,logic_communication,percentile,88.0,80.0,94.0,"Goals, constructs, and assumptions are explicit; reasoning coherent; statistics and identification are well explained; appendices provide legal/video details and robustness. Some sections are long, but conclusions track evidence; mechanism claims are cautious.",0,100
Epperson and Gerster 2024,open_science,percentile,68.0,55.0,80.0,"Pre-registered; IRB; detailed appendices, transcripts, and clear methods enable conceptual replication. However, field data likely cannot be shared; code/data availability not clearly provided, limiting full computational reproducibility.",0,100
Epperson and Gerster 2024,global_relevance,percentile,76.0,66.0,86.0,"Relevant to animal welfare/climate and design of information campaigns. Quantifies effect sizes, decay, and cost-effectiveness with actionable implications (target avoiders, small incentives). Generalizability beyond student canteens/VR medium uncertain.",0,100
Epperson and Gerster 2024,tier_should,tier,4.0,3.4,4.5,"Rigorous causal design with lab–field bridge and policy-relevant insights merits strong field or marginal A-tier consideration. Novel identification and heterogeneity/dynamics analysis. Constraints: student sample, modest N, short-lived effects, partial deviation from prereg (well defended).",0,5
Epperson and Gerster 2024,tier_will,tier,3.6,3.0,4.2,Likely placement in a strong field/top B outlet; a chance at marginal A with positioning to broader policy/behavioral audiences. COVID-shortened sample and limited persistence may temper outcomes. Expect 3–4 tier range.,0,5
Fangwa et al. 2023,overall,percentile,85.0,75.0,92.0,"Strong randomized governance program in DRC; clean identification; large, policy-relevant effects on efficiency and infant outcomes; thoughtful checks and dynamics. Limits: cannot unbundle components; nonpublic data; outside-group comparison observational; single-country sector. High practical relevance.",0,100
Fangwa et al. 2023,claims_evidence,percentile,86.0,80.0,92.0,Clear theory of complementarities; randomized assignment to governance vs funding; DiD with FE; event-study shows no pretrends; robust SEs and multiple checks; large effects on productivity and perinatal mortality. Mechanism evidence via audit quality scores and interviews. Main caveat: bundled treatment prevents isolating components.,0,100
Fangwa et al. 2023,methods,percentile,84.0,76.0,90.0,RCT within program; DiD with center and time FE; event-study dynamics; block-bootstrapped SEs; WLS for ratios; multiple-testing adjustment; balance tests; contamination checks. Outside-group analysis is matched observational; admin data measurement issues possible; components not separately identified.,0,100
Fangwa et al. 2023,advancing_knowledge,percentile,80.0,70.0,88.0,Advances debate on pay-for-performance by showing complementarity with auditing & feedback in LMICs; quantifies sizable improvements in efficiency and birth outcomes; informative implementation details and timing. Less novel methodologically; context-specific; components not unbundled.,0,100
Fangwa et al. 2023,logic_communication,percentile,85.0,78.0,92.0,"Goals, constructs, and design are clearly laid out; outcomes well defined; reasoning transparent; figures/tables support claims; dynamics and robustness strengthen narrative. Mechanism claims are plausible and cautiously supported but partly inferential from interviews and quality indices.",0,100
Fangwa et al. 2023,open_science,percentile,55.0,40.0,70.0,"Administrative data access is restricted; data appendix describes indicators and scoring; interviews ‘available on request’; no public code noted. Methods sufficiently detailed for replication in principle, but full reproducibility is limited without data/code release.",0,100
Fangwa et al. 2023,global_relevance,percentile,90.0,82.0,96.0,"Highly relevant to health systems in LMICs and donor policy; actionable findings on governance vs funding; credible effect sizes on mortality and efficiency; clear implementation guidance. Cost-effectiveness not fully quantified, but VSL back-of-envelope provided.",0,100
Fangwa et al. 2023,tier_should,tier,3.8,3.2,4.4,"Merits a top field/marginal A journal in development/health/management: strong design, substantive impacts, and policy relevance. Falls short of A-journal due to bundled treatment, limited data access, and single-country scope.",0,5
Fangwa et al. 2023,tier_will,tier,3.5,3.0,4.2,Likely outcome is top B/strong field or marginal top field. Strong identification and policy relevance help; generalizability and data-access constraints may limit A-journal chances.,0,5
Frech et al. 2023,overall,percentile,76.0,68.0,84.0,"Strong theoretical framing and policy relevance; transparent empirical construction using RAND data; supportive regressions. Limitations include rough MC assumptions, basket/discount differences, and limited identification. Solid contribution but not definitive.",0,100
Frech et al. 2023,claims_evidence,percentile,70.0,60.0,80.0,"Main claims (ROW contributes; GDP predicts contributions; partial free-riding) are supported by simple calculations and OLS. However, MC proxies are coarse, revenue measures may mix list/net prices, and the ‘exploitation’ elasticity >1 is sensitive to controls.",0,100
Frech et al. 2023,methods,percentile,68.0,58.0,78.0,"Public-good models well outlined; implementation is reasonable with two MC scenarios and sensitivity checks. Yet, assumptions (uniform MC, homogeneous benefits), limited treatment of endogeneity/influential points, and lack of granular rebate data constrain robustness.",0,100
Frech et al. 2023,advancing_knowledge,percentile,67.0,55.0,78.0,"Extends prior public-good framing with quantitative country contributions and simple regressions; clarifies extent of free-riding. Adds useful synthesis and policy framing, though originality/causal leverage are modest.",0,100
Frech et al. 2023,logic_communication,percentile,78.0,70.0,86.0,"Clear articulation of theory-to-empirics pipeline; formulas and tables aid transparency; assumptions and caveats stated. Some length/redundancy, but reasoning is coherent and conclusions match evidence.",0,100
Frech et al. 2023,open_science,percentile,55.0,40.0,68.0,"Uses public sources (RAND, PWT) and describes construction, enabling partial replication. However, no code or replication package provided; potential reliance on proprietary mappings and unclear net vs list price harmonization.",0,100
Frech et al. 2023,global_relevance,percentile,82.0,74.0,90.0,"Highly relevant to drug pricing, international cost-sharing, and innovation incentives. Direct implications for OECD policy coordination. Would benefit from explicit policy simulations and quantified welfare impacts.",0,100
Frech et al. 2023,tier_should,tier,3.4,2.8,4.1,"Merits a strong field journal: clear theory, transparent empirics, and policy relevance. Assumptions and identification limits likely preclude top general journals but fit top field outlets in health/policy.",0,5
Frech et al. 2023,tier_will,tier,3.2,2.5,3.8,"Likely outcome is a solid/top field journal in health economics or policy. Good fit and relevance, though simplifying assumptions and limited identification may cap placement below marginal A-journals.",0,5
Hahn et al. 2025,overall,percentile,96.0,91.0,99.0,"Ambitious, rigorous welfare synthesis of 96 climate policies using a harmonized MVPF framework and a new sufficient-statistics treatment of learning-by-doing. Strong robustness and clear contrasts to cost-per-ton. Minor limitations stem from SCC incidence choices and reliance on assumed isoelasticities and LBD causality.",0,100
Hahn et al. 2025,claims_evidence,percentile,93.0,88.0,97.0,"Main claims are explicit and consistently supported by harmonized translations from causal estimates to MVPFs, extensive sensitivity (SCC, LBD on/off), and publication-bias checks. Some components (e.g., cap-and-trade extrapolation, international incidence) rest on nontrivial assumptions.",0,100
Hahn et al. 2025,methods,percentile,95.0,90.0,99.0,"Well-justified MVPF framework, clear normative setup, careful handling of pass-through, markups, rebound, local/global pollutants, fiscal externalities, and an analytically derived LBD term. Assumptions (isoelastic demand/costs, constant elasticities, SCC incidence shares) are reasonable but still consequential.",0,100
Hahn et al. 2025,advancing_knowledge,percentile,94.0,90.0,98.0,Shifts policy comparison from heterogeneous cost/ton metrics to a unified MVPF lens; adds quantitative LBD integration; provides actionable cross-policy prioritization and bridges to budget-neutral tradeoffs. Likely to influence research and practice.,0,100
Hahn et al. 2025,logic_communication,percentile,92.0,88.0,96.0,"Clear objectives, transparent decomposition of WTP and costs, and thorough appendices. Figures and category averages aid comprehension. Some sections are intricate (notation, multiple assumptions), but overall reasoning is coherent and well-aligned with evidence.",0,100
Hahn et al. 2025,open_science,percentile,85.0,78.0,92.0,States code availability and uses public data/models; detailed appendices and component breakdowns aid reproducibility. Full replication is demanding across 96 studies; some inputs lack SEs; several external models/data dependencies.,0,100
Hahn et al. 2025,global_relevance,percentile,97.0,94.0,100.0,"Directly targets climate mitigation portfolio design and revenue raising; provides policy-relevant MVPFs, sensitivities, and international extensions. Highly useful for practitioners and prioritization under real-world constraints.",0,100
Hahn et al. 2025,tier_should,tier,4.7,4.2,5.0,Methodologically strong with clear policy relevance and broad synthesis; merits a top journal or top field outlet. The LBD integration and harmonized MVPF advances the literature beyond prior cost-per-ton frameworks.,0,5
Hahn et al. 2025,tier_will,tier,4.4,3.8,4.9,"Likely to place in a top field or marginal A journal given breadth, novelty, and policy salience. Placement depends on referee views on assumptions (SCC incidence, isoelasticity, LBD causality) and fit with general-interest venues.",0,5
Haushofer et al. 2020,overall,percentile,89.0,83.0,94.0,"Large, well-powered, preregistered RCT compares cash vs. psychotherapy and their combo. Clear positive impacts of cash, credible nulls for PM+ at 1 year, careful spillover and heterogeneity checks, cost framing, and transfer frequency test. Some reliance on self-reports and external validity limits remain.",0,100
Haushofer et al. 2020,claims_evidence,percentile,91.0,86.0,96.0,"Research questions and benchmarks are explicit; main claims (cash improves econ/psych outcomes; PM+ null at 1y; combo ~cash) are supported with ANCOVA, clustering, FDR, Bayesian NPV, and demand tests. Effects and nulls are characterized cautiously with CIs and multiple-testing adjustments.",0,100
Haushofer et al. 2020,methods,percentile,90.0,85.0,95.0,"Strong design: village/HH randomization, stratification, pre-analysis plan, high compliance/low attrition, ANCOVA with baseline, clustered SEs, spillover/heterogeneity analysis, timing robustness, demand-effect test. Limits: self-reported outcomes (esp. IPV), no short-run endline, context-specific PM+ implementation.",0,100
Haushofer et al. 2020,advancing_knowledge,percentile,84.0,78.0,90.0,Head-to-head test of cash vs. psychotherapy in a LMIC with economic and mental health outcomes is valuable and policy-relevant. Confirms robustness of cash; questions general-purpose low-intensity PM+. Adds evidence on transfer frequency and cost-effectiveness. Novelty moderate but actionable for practice.,0,100
Haushofer et al. 2020,logic_communication,percentile,88.0,82.0,93.0,"Goals and constructs are clear; indices and outcomes defined; reasoning transparent; multiple-testing and power discussed; appendices thorough. Conclusions match evidence and caveats are explicit. Dense presentation may tax readers, but labeling and interpretation are careful.",0,100
Haushofer et al. 2020,open_science,percentile,68.0,60.0,76.0,"Pre-registered with detailed PAP; extensive online appendix and measurement documentation; QA procedures described. However, microdata/code availability is not clearly provided (likely constrained by sensitivity), limiting full reproducibility by third parties.",0,100
Haushofer et al. 2020,global_relevance,percentile,91.0,86.0,96.0,"Directly informs poverty and mental health policy: quantified impacts and costs in rural Kenya, practical comparison of interventions, and guidance on transfer frequency. Highly relevant to donors/NGOs/governments. External validity across contexts and time horizons should be considered.",0,100
Haushofer et al. 2020,tier_should,tier,4.3,3.8,4.8,"Methodologically rigorous, policy-relevant RCT with clear results and careful analysis merits a top field or marginal A-journal. Slight limits on novelty and reliance on self-reports keep it shy of the very top, but it is strong applied work.",0,5
Haushofer et al. 2020,tier_will,tier,4.1,3.6,4.6,"Likely to place in a strong field or marginal A-journal given design quality, policy relevance, and clarity. Editorial preferences about null psychotherapy effects and generalizability introduce uncertainty around landing in an A-journal vs. top field.",0,5
Hill et al. 2024,overall,percentile,94.0,90.0,98.0,"Ambitious, well-executed scientometrics study with massive datasets, clear construct, extensive robustness, within-author FE and quasi-experiments (retractions/COVID). Results are novel, broad, and policy-relevant. Minor caveats: citations as impact proxy, reliance on reference-based similarity, some residual endogeneity.",0,100
Hill et al. 2024,claims_evidence,percentile,92.0,88.0,96.0,"Core claim (pivot penalty) is precisely stated and strongly supported across papers/patents, fields, time, alternative outcomes, and within-author designs. DiD/2SLS with retractions bolsters causal interpretation. Limitations acknowledged; claims are not overstated.",0,100
Hill et al. 2024,methods,percentile,90.0,86.0,95.0,"Sound metric (cosine on references/CPC), careful normalization, FE regressions, CEM, event studies, IV, extensive robustness (alt windows, measures, levels). Assumptions reasonable; concerns: reference-based area mapping, Dimensions coverage, and IV exclusion plausibility; largely mitigated.",0,100
Hill et al. 2024,advancing_knowledge,percentile,91.0,87.0,95.0,"Shifts understanding of exploration vs exploitation, documents time-steepening penalty, integrates novelty/conventionality. Adds actionable insights for portfolio design, hiring, funding, crisis response. High external validity across domains; useful baseline for future intervention studies.",0,100
Hill et al. 2024,logic_communication,percentile,93.0,89.0,97.0,"Clear questions, definitions, and transparent reasoning. Figures align with text; assumptions explicit; limitations discussed. Supplement details methods thoroughly. Narrative connects evidence to conclusions without overreach.",0,100
Hill et al. 2024,open_science,percentile,68.0,55.0,78.0,"Data sources well-documented; some are open (PatentsView, Crossref) but key sources (Dimensions) are proprietary. Methods described enough for re-implementation but code/data release not evident. Internal consistency checks provided; SciSciNet aids reuse.",0,100
