paper,metric,midpoint,lower_bound,upper_bound,rationale,.rowid,doi_key,arxiv_key,title_key,first_author,year_key,uj_map_key
Schuett et al. 2023,logic_communication,88,84,93,"Clear goals, definitions, and argumentation; results aligned with conclusions. Figures/tables are informative; limitations and deviations from the PAP are explicit. Easy to follow throughout.",201,NA,NA,NA,NA,NA,NA
Schuett et al. 2023,open_science,91,86,96,"Pre-registration, pre-analysis plan, code, and data on OSF; deviations documented. Some data withheld to protect anonymity, but replication is still highly feasible.",202,NA,NA,NA,NA,NA,NA
Schuett et al. 2023,global_relevance,87,82,92,"Directly informs AGI lab practices and emerging policy (US/EU/UK). Timely and practically useful. Generalizability limited by expert sample composition and focus, but relevance to global AI governance is high.",203,NA,NA,NA,NA,NA,NA
Trammel and Aschenbrenner 2025,overall,81,74,88,"A strong theoretical contribution with clear propositions, useful decomposition (state vs transition risk), and a policy layer yielding an x-risk Kuznets curve. Methods and logic are solid; relevance is high. Main uncertainty stems from empirical calibrations, stylized assumptions (planner, isoelastic utility, 1D technology), and unknown magnitude of policy frictions. Overall = mean of sub-scores.",204,NA,NA,NA,NA,NA,NA
Trammel and Aschenbrenner 2025,claims_evidence,75,65,85,"Claims are clearly framed as positive (not normative). Evidence is theoretical: formal models, propositions, and proofs. Scope conditions and limitations are articulated. No empirical validation or calibration; depends on stylized assumptions. Good characterization of what follows under different γ and policy regimes.",205,NA,NA,NA,NA,NA,NA
Trammel and Aschenbrenner 2025,methods,82,75,90,"Careful formal modeling; explores multiple regimes (state/transition risk, accrued stock, optimal policy, frictions). Clear first-order conditions and comparative statics; proofs promised in appendices. Assumptions (one-dimensional tech, representative planner, η>1) limit realism but are standard and justified for purpose.",206,NA,NA,NA,NA,NA,NA
Trammel and Aschenbrenner 2025,advancing_knowledge,86,78,92,"Advances the literature by challenging ‘stagnation is safe,’ distinguishing state vs transition risk, deriving risk-minimizing growth, and introducing an existential-risk Kuznets curve. Likely to influence debates on growth, AI risk, and policy priorities; provides conditions guiding future empirical/theoretical work.",207,NA,NA,NA,NA,NA,NA
Trammel and Aschenbrenner 2025,logic_communication,82,75,88,Reasoning is transparent; assumptions explicit; logical steps clear. Definitions and notation are consistent; diagrams aid intuition. Dense and technical at times; accessibility for non-specialists is limited but acceptable for a theory paper.,208,NA,NA,NA,NA,NA,NA
Trammel and Aschenbrenner 2025,open_science,72,60,85,Derivations and proofs indicated; simulations documented with code in Appendix C; no proprietary data. Methods appear replicable. No preregistration (not expected for theory). Score depends on actual code availability and documentation quality.,209,NA,NA,NA,NA,NA,NA
Trammel and Aschenbrenner 2025,global_relevance,88,80,95,"Directly addresses existential risk policy and growth—core to global priorities (AI, bio, climate). Offers decision-relevant conditions (γ, elasticities, policy frictions). Absent calibrated estimates, but provides a framework to guide practical prioritization and research agendas.",210,NA,NA,NA,NA,NA,NA
Walker et al. 2023,overall,82,73,90,"Strong causal design with unusually long follow-up and clear policy relevance. Some uncertainty remains around measurement (self-reported child deaths), mediation not causal, and external validity beyond high-prevalence settings. Midpoint equals mean of component midpoints.",211,NA,NA,NA,NA,NA,NA
Walker et al. 2023,claims_evidence,82,70,90,"Main claim (22% U5MR reduction) is clearly stated, statistically supported, and robust across LPM/logit/probit and weights; IMR null appropriately noted. Dose-response strengthens credibility. Mechanism claims are carefully framed as exploratory correlations, not causal mediation, with limitations acknowledged.",212,NA,NA,NA,NA,NA,NA
Walker et al. 2023,methods,80,68,88,"Leverages randomized phase-in, high tracking, appropriate clustering and FE, prespecified analyses, and multiple robustness checks. Sensible handling of cross-cutting experiments. Limitations: parent-reported mortality and miscarriages, limited multiple-testing adjustments for many secondary outcomes, and non-causal mediation; possible assortative marriage effects.",213,NA,NA,NA,NA,NA,NA
Walker et al. 2023,advancing_knowledge,88,78,95,"Rare intergenerational experimental evidence from SSA on a major health program; large, policy-relevant effect sizes; links adolescent health to next-generation survival and informs cost-effectiveness parameters. Substantially advances debates on deworming externalities and long-run benefits.",214,NA,NA,NA,NA,NA,NA
Walker et al. 2023,logic_communication,83,72,92,"Clear research questions, transparent exposition, and well-labeled results. Assumptions and limitations are stated (e.g., no formal mediation). Reasoning aligns with presented evidence; heterogeneity and mechanism sections are cautious. Dense in places but generally easy to follow.",215,NA,NA,NA,NA,NA,NA
Walker et al. 2023,open_science,70,55,85,"Pre-registered (AEA registry), extensive appendices, and clear methods. Likely data access constraints due to confidentiality; full public replication materials are not fully evident from the WP text. Credible replication feasible with data access, but not turnkey open dataset/code.",216,NA,NA,NA,NA,NA,NA
Walker et al. 2023,global_relevance,90,80,97,Addresses child mortality in LMICs and a widely implemented intervention (school deworming). Quantified effects and IRR are directly useful for policymakers. External validity strongest where helminth prevalence is high; nonetheless highly relevant to global health priorities.,217,NA,NA,NA,NA,NA,NA
