author,n_seed_dois_cited,n_citing_works,seed_dois,seed_short_titles,seed_titles_full
Ishmael Tingbani,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Ismaïl Berrada,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Ivan Soraperra,1,1,10.2139/ssrn.3938994,Information Avoidance and Moral Behavior,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices
Ivy Johnson,1,1,10.1016/j.ijdrr.2022.102798,Long term cost-effectiveness of resilient foods for global catastrophes compared…,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety
Iván Torre,1,1,10.3386/w28726,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
J Jesse,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
J. C. Castillo,1,1,10.3386/w26775,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience
J. C. Liu,1,1,10.3386/w28726,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
J. E. M. Robinson,1,1,10.1257/pandp.20201017,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience
J. Gonzales,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
J. Jackson Ewing,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
J. P. Sevilla,1,1,10.3386/w26775,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience
Jack W. Scannell,1,1,10.3386/w26752,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives
Jacob Bronsther,1,1,10.3386/w32450,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature
Jacob Cates,1,1,10.1016/j.ijdrr.2022.102798,Long term cost-effectiveness of resilient foods for global catastrophes compared…,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety
Jacopo Bonan,1,1,10.3386/w28726,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
Jae-Woong Kim,1,1,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being
Jahnab Bharadwa,1,1,10.3386/w26752,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives
Jahnab Bharadwaj,1,1,10.3386/w26752,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives
Jaime Ros,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Jaime Sevilla,1,1,10.48550/arxiv.2305.07153,Towards best practices in AGI safety and governance,Towards best practices in AGI safety and governance: A survey of expert opinion
James A. Evans,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
James Mulhall,1,1,10.1016/j.ijdrr.2022.102798,Long term cost-effectiveness of resilient foods for global catastrophes compared…,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety
James Mwera,1,1,10.3386/w28726,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
James R. Otieno,1,1,10.3386/w28726,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
James S. Potter,1,1,10.3386/w28726,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
James T. Erbaugh,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
James Throup,1,1,10.1016/j.ijdrr.2022.102798,Long term cost-effectiveness of resilient foods for global catastrophes compared…,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety
James Watson,1,1,10.21203/rs.3.rs-3235955/v1,The global potential for natural regeneration in deforested tropical regions,The global potential for natural regeneration in deforested tropical regions
Jamile Youssef,1,1,10.3386/w31208,Building Resilient Education Systems,Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries
Jan Brauner,1,1,10.48550/arxiv.2305.07153,Towards best practices in AGI safety and governance,Towards best practices in AGI safety and governance: A survey of expert opinion
Jana Cahlíková,1,1,10.3386/w28726,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
Jane Hammaker,1,1,10.1257/pandp.20201017,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience
Janne Estill,1,1,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being
Jari S. Algethami,1,1,10.3386/w30835,Water Treatment And Child Mortality,Water Treatment And Child Mortality: A Meta-Analysis And Cost-effectiveness Analysis
Jason Mwanza,1,1,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being
Jason Potts,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Jaspreet Pannu,1,1,10.1257/pandp.20201017,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience
Javed Hossain,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Javier D. Donna,1,1,10.3386/w31354,The Benefits and Costs of Guest Worker Programs,The Benefits and Costs of Guest Worker Programs: Experimental Evidence from the India-UAE Migration Corridor
Jean N. Lee,1,1,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets
Jean Nahrae Lee,1,1,10.3386/w26775,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience
Jean Robert Kala Kamdjoug,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Jean-Luc Tavernier,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Jean-Pierre Landau,1,1,10.3386/w32450,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature
Jeff Clune,1,1,10.48550/arxiv.2305.07153,Towards best practices in AGI safety and governance,Towards best practices in AGI safety and governance: A survey of expert opinion
Jeff Malpas,1,1,10.3386/w26752,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives
Jeffray Behr,1,1,10.1016/j.ijdrr.2022.102798,Long term cost-effectiveness of resilient foods for global catastrophes compared…,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety
Jeffrey B. Liebman,1,1,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US
Jeffrey R. Vincent,1,1,10.21203/rs.3.rs-3235955/v1,The global potential for natural regeneration in deforested tropical regions,The global potential for natural regeneration in deforested tropical regions
Jeffrey Sachs,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Jena D. Hamadani,1,1,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being
Jeng-Bau Lin,1,1,10.3386/w32450,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature
Jenifer Clapp,1,1,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US
Jenna Allard,1,1,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets
Jenna E. Forsyth,1,1,10.1093/wbro/lkae010,The Effect of Lead Exposure on Children’s Learning in the…,The Effect of Lead Exposure on Children’s Learning in the Developing World: A Meta-Analysis
Jennifer A. Campbell,1,1,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US
Jennifer L. Baker,1,1,10.3386/w31162,Intergenerational Child Mortality Impacts of Deworming,Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey
Jennifer L. Hay,1,1,10.2139/ssrn.3938994,Information Avoidance and Moral Behavior,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices
Jennifer T. Lai,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Jennifer Wilson,1,1,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being
Jenny Carolina Hernández Cardozo,1,1,10.3386/w31208,Building Resilient Education Systems,Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries
Jeromin Zettelmeyer,1,1,10.3386/w32450,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature
Jesmin Sultana,1,1,10.1093/wbro/lkae010,The Effect of Lead Exposure on Children’s Learning in the…,The Effect of Lead Exposure on Children’s Learning in the Developing World: A Meta-Analysis
Jess Cornaggia,1,1,10.3386/w31137,Biodiversity Risk,Biodiversity Risk
Jesse Ribot,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Jessica Goldberg,1,1,10.3386/w28726,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
Jessica Schmeiss,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Jessie Sun,1,1,10.1016/j.cognition.2021.104941,Population ethical intuitions,Population ethical intuitions
Jesús Fernández‐Villaverde,1,1,10.3386/w31137,Biodiversity Risk,Biodiversity Risk
Jhonathan Rodríguez,1,1,10.1257/pandp.20201017,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience
Ji Lu,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Jia Xu,1,1,10.1093/ej/uead102,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in…,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in Indonesia
Jiabin Fang,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Jiajun Han,1,1,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets
Jiakai Zhang,1,1,10.3386/w32728,A Welfare Analysis of Policies Impacting Climate Change,A Welfare Analysis of Policies Impacting Climate Change
Jiamin Wang,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Jiaming Wang,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Jianan Yang,1,1,10.3386/w28726,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
Jianbo Huang,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Jianfeng Guo,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Jiangyuan Liang,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Jianhong Qi,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Jiankun Gong,1,1,10.1093/ej/uead102,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in…,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in Indonesia
Jianshuo Chen,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Jiansong Tang,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Jianyong Fan,1,1,10.3386/w31899,The Effect of Public Science on Corporate R&amp;D,The Effect of Public Science on Corporate R&amp;D
Jiaofeng Pan,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Jiaoyun Yang,1,1,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
Jiaqi Liu,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Jiaqi Zhang,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Jiashun Huang,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Jiawei Gao,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Jiayi Yan,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Jiayin Zhu,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Jicai Liu,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Jidong Chen,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Jie Gao,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Jie Lai,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Jie Zheng,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Jiefeng Kang,1,1,10.1111/conl.13077,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened…,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened Species
Jie‐Sheng Tan‐Soo,1,1,10.3386/w32728,A Welfare Analysis of Policies Impacting Climate Change,A Welfare Analysis of Policies Impacting Climate Change
Jignesh Chandarana,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Jigyasa Kaur,1,1,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
Jill Hoiting,1,1,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US
Jin Shi,1,1,10.3386/w31137,Biodiversity Risk,Biodiversity Risk
Jin Xiao,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Jin Ze-hu,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Jin-Feng Huang,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Jincheng Li,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Jinchi Dong,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Jinfeng Liang,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Jing Lu,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Jing Niu,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Jing Ren,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Jing Xie,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Jing Zhao,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Jingbing Feng,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Jinglei Huang,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Jinglong Chen,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Jingwei Ni,1,1,10.3386/w31137,Biodiversity Risk,Biodiversity Risk
Jingya Qian,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Jinlan Ni,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Jinli Wang,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Jinmin Wang,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Jintao Fu,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Jinting Dong,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Jize Jiang,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Jiří Trešl,1,1,10.3386/w31137,Biodiversity Risk,Biodiversity Risk
Joan Manuel Rodríguez-Díaz,1,1,10.3386/w30835,Water Treatment And Child Mortality,Water Treatment And Child Mortality: A Meta-Analysis And Cost-effectiveness Analysis
Joan Martínez Alier,1,1,10.3386/w32450,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature
Joanna Wang,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Joaquin A. Montell,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Jocelyn Kelley,1,1,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
Jocelyn Kelly,1,1,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
Jochen Monstadt,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
Joe Dodd,1,1,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
Joel Hestness,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Joel McGuire,1,1,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being
Joel Shapiro,1,1,10.3386/w31137,Biodiversity Risk,Biodiversity Risk
Joern Fischer,1,1,10.21203/rs.3.rs-3235955/v1,The global potential for natural regeneration in deforested tropical regions,The global potential for natural regeneration in deforested tropical regions
Johan Karlsson,1,1,10.3386/w26752,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives
Johan Rockström,1,1,10.3386/w32450,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature
Johan de Jong,1,1,10.21203/rs.3.rs-3235955/v1,The global potential for natural regeneration in deforested tropical regions,The global potential for natural regeneration in deforested tropical regions
Johanna Hedlund,1,1,10.1016/j.ijdrr.2022.102798,Long term cost-effectiveness of resilient foods for global catastrophes compared…,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety
Johannes A. Jacobs,1,1,10.3386/w32450,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature
Johannes Jaspersen,1,1,10.3386/w31137,Biodiversity Risk,Biodiversity Risk
Johannes Klausmann,1,1,10.3386/w31137,Biodiversity Risk,Biodiversity Risk
Johannes König,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Johannes Wimmer,1,1,10.1093/ej/uead102,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in…,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in Indonesia
Johannes Zimmermann,1,1,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
John A. Maluccio,1,1,10.3386/w31162,Intergenerational Child Mortality Impacts of Deworming,Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey
John A. Roper,1,1,10.3386/w32450,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature
John F. Rauthmann,1,1,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
John Floretta,1,1,10.3386/w28726,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
John Gathergood,1,1,10.3386/w30740,"When do ""Nudges"" Increase Welfare?","When do ""Nudges"" Increase Welfare?"
John Herbohn,1,1,10.21203/rs.3.rs-3235955/v1,The global potential for natural regeneration in deforested tropical regions,The global potential for natural regeneration in deforested tropical regions
John Hoddinott,1,1,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being
John L. Campbell,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
John Manuel Barrios,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
John Quattrochi,1,1,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being
John R. Weisz,1,1,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being
John Zhuang Liu HKU,1,1,10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China
John‐Oliver Engler,1,1,10.1016/j.ijdrr.2022.102798,Long term cost-effectiveness of resilient foods for global catastrophes compared…,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety
Jon Bielby,1,1,10.1111/conl.13077,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened…,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened Species
Jon Kleinberg,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Jon Kvist,1,1,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US
Jonas Antanavičius,1,1,10.3386/w31899,The Effect of Public Science on Corporate R&amp;D,The Effect of Public Science on Corporate R&amp;D
Jonas B. Sandbrink,1,1,10.1257/pandp.20201017,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience
Jonas Krogh Madsen,1,1,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US
Jonas Meckling,1,1,10.3386/w26775,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience
Jonas Schuett,1,1,10.48550/arxiv.2305.07153,Towards best practices in AGI safety and governance,Towards best practices in AGI safety and governance: A survey of expert opinion
Jonathan Goupille-Lebret,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Jonathan Morduch,1,1,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets
Jonathan Sotsky,1,1,10.3386/w31409,Choose Your Moments,Choose Your Moments: Peer Review and Scientific Risk Taking
Jonathan Wai,1,1,10.3386/w26752,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives
Jonathan Wittau,1,1,10.3386/w26752,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives
Jordy Rillaerts,1,1,10.3386/w31137,Biodiversity Risk,Biodiversity Risk
Jorge A. Meave,1,1,10.21203/rs.3.rs-3235955/v1,The global potential for natural regeneration in deforested tropical regions,The global potential for natural regeneration in deforested tropical regions
Jorge Britto,1,1,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
Joschka Flintz,1,1,10.3386/w32728,A Welfare Analysis of Policies Impacting Climate Change,A Welfare Analysis of Policies Impacting Climate Change
