author,seed_short_titles,seed_titles_full,unjournal_evals,n_seed_dois_cited_by_author,n_citing_works_by_author
Joe Dodd,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,1,1
Joel McGuire,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Joel Shapiro,Biodiversity Risk,Biodiversity Risk,,1,1
Joern Fischer,The global potential for natural regeneration in deforested tropical regions,The global potential for natural regeneration in deforested tropical regions,,1,1
Johan Karlsson,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives,,1,1
Johan Rockström,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,,1,1
Johan de Jong,The global potential for natural regeneration in deforested tropical regions,The global potential for natural regeneration in deforested tropical regions,,1,1
Johanna Hedlund,Long term cost-effectiveness of resilient foods for global catastrophes compared…,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,,1,1
Johannes A. Jacobs,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,,1,1
Johannes Jaspersen,Biodiversity Risk,Biodiversity Risk,,1,1
Johannes Klausmann,Biodiversity Risk,Biodiversity Risk,,1,1
Johannes Wimmer,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in…,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in Indonesia,,1,1
Johannes Zimmermann,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,1,1
John A. Maluccio,Intergenerational Child Mortality Impacts of Deworming,Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey,,1,1
John A. Roper,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,,1,1
John F. Rauthmann,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,1,1
John Floretta,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
John Gathergood,"When do ""Nudges"" Increase Welfare?","When do ""Nudges"" Increase Welfare?",,1,1
John Herbohn,The global potential for natural regeneration in deforested tropical regions,The global potential for natural regeneration in deforested tropical regions,,1,1
John Hoddinott,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
John Quattrochi,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
John R. Weisz,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
John Zhuang Liu HKU,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
John‐Oliver Engler,Long term cost-effectiveness of resilient foods for global catastrophes compared…,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,,1,1
Jon Bielby,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened…,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened Species,,1,1
Jon Kvist,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,,1,1
Jonas Antanavičius,The Effect of Public Science on Corporate R&amp;D,The Effect of Public Science on Corporate R&amp;D,,1,1
Jonas B. Sandbrink,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Jonas Krogh Madsen,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,,1,1
Jonas Meckling,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Jonas Schuett,Towards best practices in AGI safety and governance,Towards best practices in AGI safety and governance: A survey of expert opinion,,1,1
Jonathan Morduch,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,,1,1
Jonathan Sotsky,Choose Your Moments,Choose Your Moments: Peer Review and Scientific Risk Taking,,1,1
Jonathan Wai,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives,,1,1
Jonathan Wittau,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives,,1,1
Jordy Rillaerts,Biodiversity Risk,Biodiversity Risk,,1,1
Jorge A. Meave,The global potential for natural regeneration in deforested tropical regions,The global potential for natural regeneration in deforested tropical regions,,1,1
Joschka Flintz,A Welfare Analysis of Policies Impacting Climate Change,A Welfare Analysis of Policies Impacting Climate Change,,1,1
Jose Manuel Ochoa‐Quintero,The global potential for natural regeneration in deforested tropical regions,The global potential for natural regeneration in deforested tropical regions,,1,1
Joseph E. Aldy,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Joseph Karguia,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Joseph Nyaga,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Joseph Shapiro,A Welfare Analysis of Policies Impacting Climate Change,A Welfare Analysis of Policies Impacting Climate Change,,1,1
Joseph Simbaya,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Joseph W. Bull,Biodiversity Risk,Biodiversity Risk,,1,1
Josh Greenberg,Choose Your Moments,Choose Your Moments: Peer Review and Scientific Risk Taking,,1,1
Joshua D. Lambert,Long term cost-effectiveness of resilient foods for global catastrophes compared…,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,,1,1
Joshua Teperowski Monrad,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Josie Coburn,Choose Your Moments,Choose Your Moments: Peer Review and Scientific Risk Taking,,1,1
José Hernández‐Orallo,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives,,1,1
José R. Suárez-López,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,,1,1
Juan Manuel Hernández-Agramonte,Building Resilient Education Systems,Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,,1,1
Juan Pablo Chauvin,Legalizing Entrepreneurship,Legalizing Entrepreneurship,,1,1
Jukka Riekki,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives,,1,1
Julia Lane,Choose Your Moments,Choose Your Moments: Peer Review and Scientific Risk Taking,,1,1
Julia Sweatman,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Julia Vaillant,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Julian Hazell,Towards best practices in AGI safety and governance,Towards best practices in AGI safety and governance: A survey of expert opinion,,1,1
Julian M. Alston,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Juliane Degner,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,1,1
Julie Chytilová,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Julien‐François Gerber,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,,1,1
Julieta Vera Rueda,Intergenerational Child Mortality Impacts of Deworming,Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey,,1,1
Julio González-Díaz,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives,,1,1
Julius Dohbit Sama,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Jun Bi,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Jun Li,A Welfare Analysis of Policies Impacting Climate Change,A Welfare Analysis of Policies Impacting Climate Change,,1,1
Jungkyu Suh,The Effect of Public Science on Corporate R&amp;D,The Effect of Public Science on Corporate R&amp;D,,1,1
Junli Cheng,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,,1,1
Junling Huang,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Junming Chen,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Junyan Zhang,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives,,1,1
Junyi Feng,Biodiversity Risk,Biodiversity Risk,,1,1
Jérémy Scheurer,Towards best practices in AGI safety and governance,Towards best practices in AGI safety and governance: A survey of expert opinion,,1,1
Jörn R. Sparfeldt,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,1,1
K. Banskota,Biodiversity Risk,Biodiversity Risk,,1,1
K. K. Mahajan,Money (Not) to Burn,Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,,1,1
K.P. Prabheesh,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,,1,1
Kai Xu,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Kaida Liang,The Effect of Lead Exposure on Children’s Learning in the…,The Effect of Lead Exposure on Children’s Learning in the Developing World: A Meta-Analysis,,1,1
Kaidong Yu,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in…,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in Indonesia,,1,1
Kaiyuan Xiao,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Kaja Kinga Jasińska,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,,1,1
Kalipso Chalkidou,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Kalle Hirvonen,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Kalpana Balakrishnan,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,,1,1
Kamiar Mohaddes,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,,1,1
Kangyin Dong,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Kara Kedrick,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives,,1,1
Karen Macours,Intergenerational Child Mortality Impacts of Deworming,Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey,,1,1
Kari Heimonen,Biodiversity Risk,Biodiversity Risk,,1,1
Karlina Indraswari,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened…,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened Species,,1,1
Karrie A.B. Walker,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Kartik Anand,Biodiversity Risk,Biodiversity Risk,,1,1
Kat Adams Shannon,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,,1,1
Katarzyna Lipowska,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in…,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in Indonesia,,1,1
Kate Schwartz,Building Resilient Education Systems,Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,,1,1
Kateryna Shatnenko,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress,,1,1
Katharina Szota,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,1,1
Katherine A. DeCelles,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,,1,1
Katherine Adams Shannon,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,,1,1
Katherine Calhoun,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Katherine E. Venturo‐Conerly,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Katherine L. Marshall,Water Treatment And Child Mortality,Water Treatment And Child Mortality: A Meta-Analysis And Cost-effectiveness Analysis,,1,1
Katherine Lacasse,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,,1,1
Katherine Meckel,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,1,1
Katherine Richard,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,,1,1
Katherine Rittenhouse,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,1,1
Kathrin Grosse,Towards best practices in AGI safety and governance,Towards best practices in AGI safety and governance: A survey of expert opinion,,1,1
Kathrin Wolf,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Katrine Sonne‐Hansen,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives,,1,1
Katy Bergstrom,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Ke He,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Keita Fukasawa,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened…,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened Species,,1,1
Kelly Holland,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Kelly Kaila,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Kelly M. Doran,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,,1,1
Kenichiro Onitsuka,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,,1,1
Kenneth Gillingham,Biodiversity Risk,Biodiversity Risk,,1,1
Keri M. Guilbault,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives,,1,1
Ketki Sheth,Water Treatment And Child Mortality,Water Treatment And Child Mortality: A Meta-Analysis And Cost-effectiveness Analysis,,1,1
Kevin Carney,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Kevin Donovan,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,,1,1
Kevin Hosford,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives,,1,1
Kevin R. James,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives,,1,1
Kevin Rassool,Long term cost-effectiveness of resilient foods for global catastrophes compared…,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,,1,1
Kevin Wei,Towards best practices in AGI safety and governance,Towards best practices in AGI safety and governance: A survey of expert opinion,,1,1
Keyi Tang,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Khagendra Subba,Building Resilient Education Systems,Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,,1,1
Khatuna Akhalaia,The Effect of Lead Exposure on Children’s Learning in the…,The Effect of Lead Exposure on Children’s Learning in the Developing World: A Meta-Analysis,,1,1
Khine Kyaw,Biodiversity Risk,Biodiversity Risk,,1,1
Kibrom A. Abay,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Kimberly Berg,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,,1,1
Kiparissenia Samara,The Effect of Public Science on Corporate R&amp;D,The Effect of Public Science on Corporate R&amp;D,,1,1
Kirsten M. McMillan,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened…,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened Species,,1,1
Kirun Sankaran,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Klaus Kümmerer,The global potential for natural regeneration in deforested tropical regions,The global potential for natural regeneration in deforested tropical regions,,1,1
Koen Maaskant,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,,1,1
Koen Schoors,Misperceptions and Demand for Democracy under Authoritarianism,Misperceptions and Demand for Democracy under Authoritarianism,,1,1
Konstantin Büchel,Building Resilient Education Systems,Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,,1,1
Kosuke Inoue,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Kota Mameno,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened…,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened Species,,1,1
Krishna Kumar Yadav,Water Treatment And Child Mortality,Water Treatment And Child Mortality: A Meta-Analysis And Cost-effectiveness Analysis,,1,1
Kristin Kiesel,"When do ""Nudges"" Increase Welfare?","When do ""Nudges"" Increase Welfare?",,1,1
Kristina Suchotzki,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,1,1
Kultar Singh,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Kumari Smita,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,1,1
Kyle J. Moon,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,,1,1
L. Guillermo Woo-Mora,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in…,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in Indonesia,,1,1
Lalitha Sundaram,Long term cost-effectiveness of resilient foods for global catastrophes compared…,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,,1,1
Lamiaa Fiala,Cash Transfers for Child Development,Cash Transfers for Child Development: Experimental Evidence from India,,1,1
Langtian Ma,Adaptability and the Pivot Penalty in Science,Adaptability and the Pivot Penalty in Science,,1,1
Lara Bartels,"When do ""Nudges"" Increase Welfare?","When do ""Nudges"" Increase Welfare?",,1,1
Larissa Lushniak,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Laura Boudreau,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,,1,1
Laura Cook,Long term cost-effectiveness of resilient foods for global catastrophes compared…,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,,1,1
Laura Levaggi,Pharmaceutical Pricing and R&amp;D as a Global Public Good,Pharmaceutical Pricing and R&amp;D as a Global Public Good,,1,1
Laura Schechter,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Laura Stilwell,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,,1,1
Laurel Krovetz,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress,,1,1
Lauren Coad,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened…,Banning Wildlife Trade Can Boost the Unregulated Trade of Threatened Species,,1,1
Lauren Meyer,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,,1,1
Lawrence O. Gostin,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Leah R. Rosenzweig,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Leandra Scharnhorst,The Macroeconomic Impact of Climate Change,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,,1,1
Lee Crawfurd,Water Treatment And Child Mortality,Water Treatment And Child Mortality: A Meta-Analysis And Cost-effectiveness Analysis,,1,1
Lee Sharkey,Towards best practices in AGI safety and governance,Towards best practices in AGI safety and governance: A survey of expert opinion,,1,1
Lei Lei,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Lei Liu,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,1,1
Lei Shi,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Leland E. Farmer,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Lelys Dinarte-Diaz,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,1,1
Lena Frischlich,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,1,1
Leonard E. Egede,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,,1,1
Leonardo M. Giuffrida,Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience,,1,1
Leonhard Vollmer,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in…,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in Indonesia,,1,1
Leonie Koessler,Towards best practices in AGI safety and governance,Towards best practices in AGI safety and governance: A survey of expert opinion,,1,1
Li Lin,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Li Sun,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Lianchao Yu,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Liangke Liu,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Lienda Bashier Eltayeb,Water Treatment And Child Mortality,Water Treatment And Child Mortality: A Meta-Analysis And Cost-effectiveness Analysis,,1,1
Lili Xia,Long term cost-effectiveness of resilient foods for global catastrophes compared…,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,,1,1
Lili Yan,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Limei Yang,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Lin Feng,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,,1,1
Lin Li,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Lin Yang,Urban Forests,Urban Forests: Environmental Health Values and Risks,,1,1
Lina Torossian,Building Resilient Education Systems,Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,,1,1
Ling Dai,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Lingqian Kong,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Lingyun Chen,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Linh Vu,Information Avoidance and Moral Behavior,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices,,1,1
Linjie Feng,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Lint Barrage,Money (Not) to Burn,Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,,1,1
Lior Horesh,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives,,1,1
Lirui Jiao,Biodiversity Risk,Biodiversity Risk,,1,1
Lisa Ho,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Lisa Rogge,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Lisa Sheenan,Biodiversity Risk,Biodiversity Risk,,1,1
Lise G. Bjerregaard,Intergenerational Child Mortality Impacts of Deworming,Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey,,1,1
Lisen Arnheim‐Dahlström,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,1,1
Liz Ota,The global potential for natural regeneration in deforested tropical regions,The global potential for natural regeneration in deforested tropical regions,,1,1
Long Niu,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,1,1
Lorenzo Rodrigo Aldeco Leo,Money (Not) to Burn,Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,,1,1
