research,criteria,publication_status,main_cause_cat,evaluator,Anonymous,middle_rating,lower_CI,upper_CI,confidence_level,checked_against_source,notes on check against source,evaluator_comment,eval_weight (not used yet),cause areas,Journal publication title,publication_date_unjournal,row_created_date
Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,methods,"Published, ? journal","Catastrophic and existential risks,  the long-term future, forecasting",Scott Janzwood,false,,,,,false,,,,"Catastrophic & existential risks, the long-term future, forecasting",International Journal of Disaster Risk Reduction,2023-05-12,6/7/2024 4:40:59 PM
Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,logic_comms,"Published, ? journal","Catastrophic and existential risks,  the long-term future, forecasting",Scott Janzwood,false,80,,,,false,,,,"Catastrophic & existential risks, the long-term future, forecasting",International Journal of Disaster Risk Reduction,2023-05-12,6/7/2024 4:40:59 PM
Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,real_world,"Published, ? journal","Catastrophic and existential risks,  the long-term future, forecasting",Scott Janzwood,false,,,,,false,,,,"Catastrophic & existential risks, the long-term future, forecasting",International Journal of Disaster Risk Reduction,2023-05-12,6/7/2024 4:40:59 PM
Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,gp_relevance,"Published, ? journal","Catastrophic and existential risks,  the long-term future, forecasting",Scott Janzwood,false,80,,,,false,,,,"Catastrophic & existential risks, the long-term future, forecasting",International Journal of Disaster Risk Reduction,2023-05-12,6/7/2024 4:40:59 PM
Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,journal_predict,"Published, ? journal","Catastrophic and existential risks,  the long-term future, forecasting",Scott Janzwood,false,3.5,,,,false,,,,"Catastrophic & existential risks, the long-term future, forecasting",International Journal of Disaster Risk Reduction,2023-05-12,6/7/2024 4:40:59 PM
Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,open_sci,"Published, ? journal","Catastrophic and existential risks,  the long-term future, forecasting",Scott Janzwood,false,,,,,false,,,,"Catastrophic & existential risks, the long-term future, forecasting",International Journal of Disaster Risk Reduction,2023-05-12,6/7/2024 4:40:59 PM
Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,merits_journal,"Published, ? journal","Catastrophic and existential risks,  the long-term future, forecasting",Scott Janzwood,false,3.5,,,,false,,,,"Catastrophic & existential risks, the long-term future, forecasting",International Journal of Disaster Risk Reduction,2023-05-12,6/7/2024 4:40:59 PM
Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,overall,"Published, ? journal","Catastrophic and existential risks,  the long-term future, forecasting",Scott Janzwood,false,65,,,,false,,,,"Catastrophic & existential risks, the long-term future, forecasting",International Journal of Disaster Risk Reduction,2023-05-12,6/7/2024 4:40:59 PM
Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,overall,"Published, ~top journal",Economic development & governance (LMICs),Karthik Tadepalli,false,90,75,95,,false,,,,Economic development & governance (LMICs),The American Economic Review: Insights,2023-10-30,7/2/2024 11:42:45 AM
Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,merits_journal,"Published, ~top journal",Economic development & governance (LMICs),Karthik Tadepalli,false,4,3,5,,false,,,,Economic development & governance (LMICs),The American Economic Review: Insights,2023-10-30,7/2/2024 11:43:01 AM
Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,adv_knowledge,"Published, ~top journal",Economic development & governance (LMICs),Karthik Tadepalli,false,80,70,85,,,,,,Economic development & governance (LMICs),The American Economic Review: Insights,2023-10-30,7/9/2024 10:34:31 AM
Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,overall,"Published, ~top journal",Economic development & governance (LMICs),Anon. evaluator 2 1,true,85,80,90,,false,,,,Economic development & governance (LMICs),The American Economic Review: Insights,2023-10-30,7/2/2024 11:43:29 AM
Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,merits_journal,"Published, ~top journal",Economic development & governance (LMICs),Anon. evaluator 2 1,true,4,,,85,false,,,,Economic development & governance (LMICs),The American Economic Review: Insights,2023-10-30,7/2/2024 11:43:29 AM
Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,adv_knowledge,"Published, ~top journal",Economic development & governance (LMICs),Anon. evaluator 2 1,true,80,85,95,,,,,,Economic development & governance (LMICs),The American Economic Review: Insights,2023-10-30,7/9/2024 10:36:34 AM
Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,methods,"Published, ~top journal",Economic development & governance (LMICs),Karthik Tadepalli,false,80,70,95,,,,,,Economic development & governance (LMICs),The American Economic Review: Insights,2023-10-30,7/9/2024 10:34:31 AM
Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,logic_comms,"Published, ~top journal",Economic development & governance (LMICs),Karthik Tadepalli,false,90,88,92,,,,,,Economic development & governance (LMICs),The American Economic Review: Insights,2023-10-30,7/9/2024 10:34:31 AM
Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,open_sci,"Published, ~top journal",Economic development & governance (LMICs),Karthik Tadepalli,false,80,75,95,,,,,,Economic development & governance (LMICs),The American Economic Review: Insights,2023-10-30,7/9/2024 10:34:31 AM
Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,real_world,"Published, ~top journal",Economic development & governance (LMICs),Karthik Tadepalli,false,95,90,100,,,,,,Economic development & governance (LMICs),The American Economic Review: Insights,2023-10-30,7/9/2024 10:34:31 AM
Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,gp_relevance,"Published, ~top journal",Economic development & governance (LMICs),Karthik Tadepalli,false,95,80,100,,,,,,Economic development & governance (LMICs),The American Economic Review: Insights,2023-10-30,7/9/2024 10:34:31 AM
Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,journal_predict,"Published, ~top journal",Economic development & governance (LMICs),Karthik Tadepalli,false,4,3,5,,,,,,Economic development & governance (LMICs),The American Economic Review: Insights,2023-10-30,7/9/2024 10:34:31 AM
Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,methods,"Published, ~top journal",Economic development & governance (LMICs),Anon. evaluator 2 1,true,80,65,75,,,,,,Economic development & governance (LMICs),The American Economic Review: Insights,2023-10-30,7/9/2024 10:36:34 AM
Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,logic_comms,"Published, ~top journal",Economic development & governance (LMICs),Anon. evaluator 2 1,true,90,80,90,,,,,,Economic development & governance (LMICs),The American Economic Review: Insights,2023-10-30,7/9/2024 10:36:34 AM
Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,open_sci,"Published, ~top journal",Economic development & governance (LMICs),Anon. evaluator 2 1,true,90,70,80,,,,,,Economic development & governance (LMICs),The American Economic Review: Insights,2023-10-30,7/9/2024 10:36:34 AM
Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,real_world,"Published, ~top journal",Economic development & governance (LMICs),Anon. evaluator 2 1,true,90,90,100,,,,,,Economic development & governance (LMICs),The American Economic Review: Insights,2023-10-30,7/9/2024 10:36:34 AM
Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,gp_relevance,"Published, ~top journal",Economic development & governance (LMICs),Anon. evaluator 2 1,true,90,90,100,,,,,,Economic development & governance (LMICs),The American Economic Review: Insights,2023-10-30,7/9/2024 10:36:34 AM
Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,journal_predict,"Published, ~top journal",Economic development & governance (LMICs),Anon. evaluator 2 1,true,4,,,,,,,,Economic development & governance (LMICs),The American Economic Review: Insights,2023-10-30,7/9/2024 10:36:34 AM
Replicability & Generalisability:  A Guide to CEA discounts,overall,Working paper/mimeo; not published in a peer-reviewed journal,"Other: Economics/welfare, growth, policy, global markets and population",Anon. evaluator 1,true,25,0,50,,false,,,,Other Economics/Welfare/Growth,WP,2024-06-10,7/2/2024 11:12:03 AM
Replicability & Generalisability:  A Guide to CEA discounts,merits_journal,Working paper/mimeo; not published in a peer-reviewed journal,"Other: Economics/welfare, growth, policy, global markets and population",Anon. evaluator 1,true,,,,,,,,,Other Economics/Welfare/Growth,WP,2024-06-10,7/9/2024 10:28:27 AM
Replicability & Generalisability:  A Guide to CEA discounts,overall,Working paper/mimeo; not published in a peer-reviewed journal,"Other: Economics/welfare, growth, policy, global markets and population",Max Meier,false,40,10,60,,false,,,,Other Economics/Welfare/Growth,WP,2024-06-10,7/2/2024 11:26:39 AM
Replicability & Generalisability:  A Guide to CEA discounts,adv_knowledge,Working paper/mimeo; not published in a peer-reviewed journal,"Other: Economics/welfare, growth, policy, global markets and population",Max Meier,false,50,20,70,,,,,,Other Economics/Welfare/Growth,WP,2024-06-10,7/9/2024 10:31:47 AM
Replicability & Generalisability:  A Guide to CEA discounts,adv_knowledge,Working paper/mimeo; not published in a peer-reviewed journal,"Other: Economics/welfare, growth, policy, global markets and population",Anon. evaluator 1,true,30,20,80,,,,,,Other Economics/Welfare/Growth,WP,2024-06-10,7/9/2024 10:28:27 AM
Replicability & Generalisability:  A Guide to CEA discounts,methods,Working paper/mimeo; not published in a peer-reviewed journal,"Other: Economics/welfare, growth, policy, global markets and population",Anon. evaluator 1,true,,,,,,,,,Other Economics/Welfare/Growth,WP,2024-06-10,7/9/2024 10:28:27 AM
Replicability & Generalisability:  A Guide to CEA discounts,logic_comms,Working paper/mimeo; not published in a peer-reviewed journal,"Other: Economics/welfare, growth, policy, global markets and population",Anon. evaluator 1,true,30,10,70,,,,,,Other Economics/Welfare/Growth,WP,2024-06-10,7/9/2024 10:28:27 AM
Replicability & Generalisability:  A Guide to CEA discounts,open_sci,Working paper/mimeo; not published in a peer-reviewed journal,"Other: Economics/welfare, growth, policy, global markets and population",Anon. evaluator 1,true,10,0,50,,,,,,Other Economics/Welfare/Growth,WP,2024-06-10,7/9/2024 10:28:27 AM
Replicability & Generalisability:  A Guide to CEA discounts,real_world,Working paper/mimeo; not published in a peer-reviewed journal,"Other: Economics/welfare, growth, policy, global markets and population",Anon. evaluator 1,true,,,,,,,,,Other Economics/Welfare/Growth,WP,2024-06-10,7/9/2024 10:28:27 AM
Replicability & Generalisability:  A Guide to CEA discounts,gp_relevance,Working paper/mimeo; not published in a peer-reviewed journal,"Other: Economics/welfare, growth, policy, global markets and population",Anon. evaluator 1,true,70,50,95,,,,,,Other Economics/Welfare/Growth,WP,2024-06-10,7/9/2024 10:28:27 AM
Replicability & Generalisability:  A Guide to CEA discounts,journal_predict,Working paper/mimeo; not published in a peer-reviewed journal,"Other: Economics/welfare, growth, policy, global markets and population",Anon. evaluator 1,true,,,,,,,,,Other Economics/Welfare/Growth,WP,2024-06-10,7/9/2024 10:28:27 AM
Replicability & Generalisability:  A Guide to CEA discounts,methods,Working paper/mimeo; not published in a peer-reviewed journal,"Other: Economics/welfare, growth, policy, global markets and population",Max Meier,false,10,0,40,,,,,,Other Economics/Welfare/Growth,WP,2024-06-10,7/9/2024 10:31:48 AM
Replicability & Generalisability:  A Guide to CEA discounts,logic_comms,Working paper/mimeo; not published in a peer-reviewed journal,"Other: Economics/welfare, growth, policy, global markets and population",Max Meier,false,30,10,50,,,,,,Other Economics/Welfare/Growth,WP,2024-06-10,7/9/2024 10:31:48 AM
Replicability & Generalisability:  A Guide to CEA discounts,real_world,Working paper/mimeo; not published in a peer-reviewed journal,"Other: Economics/welfare, growth, policy, global markets and population",Max Meier,false,,,,,,,,,Other Economics/Welfare/Growth,WP,2024-06-10,7/9/2024 10:31:48 AM
Replicability & Generalisability:  A Guide to CEA discounts,gp_relevance,Working paper/mimeo; not published in a peer-reviewed journal,"Other: Economics/welfare, growth, policy, global markets and population",Max Meier,false,50,10,80,,,,,,Other Economics/Welfare/Growth,WP,2024-06-10,7/9/2024 10:31:48 AM
Replicability & Generalisability:  A Guide to CEA discounts,journal_predict,Working paper/mimeo; not published in a peer-reviewed journal,"Other: Economics/welfare, growth, policy, global markets and population",Max Meier,false,,,,,,,,,Other Economics/Welfare/Growth,WP,2024-06-10,7/9/2024 10:31:48 AM
Replicability & Generalisability:  A Guide to CEA discounts,open_sci,Working paper/mimeo; not published in a peer-reviewed journal,"Other: Economics/welfare, growth, policy, global markets and population",Max Meier,false,10,,,,,,,,Other Economics/Welfare/Growth,WP,2024-06-10,7/9/2024 10:31:48 AM
Replicability & Generalisability:  A Guide to CEA discounts,merits_journal,Working paper/mimeo; not published in a peer-reviewed journal,"Other: Economics/welfare, growth, policy, global markets and population",Max Meier,false,,,,,,,,,Other Economics/Welfare/Growth,WP,2024-06-10,7/9/2024 10:31:48 AM
Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,adv_knowledge,Forthcoming,Global health; “Health & well-being in low-income countries”,Anon. evaluator 2 1,true,95,80,99,,,,,,Global health (LMICs),Econometrica,2024-08-10,8/15/2024 12:59:34 PM
Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,methods,Forthcoming,Global health; “Health & well-being in low-income countries”,Anon. evaluator 2 1,true,90,70,95,,,,,,Global health (LMICs),Econometrica,2024-08-10,8/15/2024 1:00:09 PM
Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,logic_comms,Forthcoming,Global health; “Health & well-being in low-income countries”,Anon. evaluator 2 1,true,90,70,95,,,,,,Global health (LMICs),Econometrica,2024-08-10,8/15/2024 1:00:13 PM
Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,open_sci,Forthcoming,Global health; “Health & well-being in low-income countries”,Anon. evaluator 2 1,true,90,70,95,,,,,,Global health (LMICs),Econometrica,2024-08-10,8/15/2024 1:00:13 PM
Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,real_world,Forthcoming,Global health; “Health & well-being in low-income countries”,Anon. evaluator 2 1,true,95,75,99,,,,,,Global health (LMICs),Econometrica,2024-08-10,8/15/2024 1:00:16 PM
Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,gp_relevance,Forthcoming,Global health; “Health & well-being in low-income countries”,Anon. evaluator 2 1,true,85,70,99,,,,,,Global health (LMICs),Econometrica,2024-08-10,8/15/2024 1:00:16 PM
Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,journal_predict,Forthcoming,Global health; “Health & well-being in low-income countries”,Anon. evaluator 2 1,true,4.7,4,5.0,,,,,,Global health (LMICs),Econometrica,2024-08-10,8/15/2024 1:01:56 PM
Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,merits_journal,Forthcoming,Global health; “Health & well-being in low-income countries”,Anon. evaluator 2 1,true,4.7,4,5.0,,,,,,Global health (LMICs),Econometrica,2024-08-10,8/15/2024 1:01:56 PM
Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,overall,Forthcoming,Global health; “Health & well-being in low-income countries”,Anon. evaluator 2 1,true,95,80,99,,,,,,Global health (LMICs),Econometrica,2024-08-10,8/15/2024 1:01:56 PM
Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,adv_knowledge,Forthcoming,Global health; “Health & well-being in low-income countries”,Anon. evaluator 3,true,85,75,90,,,,,,Global health (LMICs),Econometrica,2024-08-10,8/15/2024 1:03:44 PM
Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,methods,Forthcoming,Global health; “Health & well-being in low-income countries”,Anon. evaluator 3,true,80,50,100,,,,,,Global health (LMICs),Econometrica,2024-08-10,8/15/2024 1:03:44 PM
Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,logic_comms,Forthcoming,Global health; “Health & well-being in low-income countries”,Anon. evaluator 3,true,80,50,100,,,,,,Global health (LMICs),Econometrica,2024-08-10,8/15/2024 1:03:44 PM
Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,open_sci,Forthcoming,Global health; “Health & well-being in low-income countries”,Anon. evaluator 3,true,70,25,80,,,,,,Global health (LMICs),Econometrica,2024-08-10,8/15/2024 1:03:44 PM
Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,real_world,Forthcoming,Global health; “Health & well-being in low-income countries”,Anon. evaluator 3,true,95,70,100,,,,,,Global health (LMICs),Econometrica,2024-08-10,8/15/2024 1:03:44 PM
Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,gp_relevance,Forthcoming,Global health; “Health & well-being in low-income countries”,Anon. evaluator 3,true,95,90,100,,,,,,Global health (LMICs),Econometrica,2024-08-10,8/15/2024 1:03:44 PM
Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,merits_journal,Forthcoming,Global health; “Health & well-being in low-income countries”,Anon. evaluator 3,true,4.5,4,5.0,,,,,,Global health (LMICs),Econometrica,2024-08-10,8/15/2024 1:03:44 PM
Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,journal_predict,Forthcoming,Global health; “Health & well-being in low-income countries”,Anon. evaluator 3,true,4.7,4,5.0,,,,,,Global health (LMICs),Econometrica,2024-08-10,8/15/2024 1:03:44 PM
Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,overall,Forthcoming,Global health; “Health & well-being in low-income countries”,Anon. evaluator 3,true,85,75,90,,,,,,Global health (LMICs),Econometrica,2024-08-10,8/15/2024 1:03:44 PM
Stagnation and Scientific Incentives,overall,Working paper/mimeo; not published in a peer-reviewed journal,"Innovation, meta-science, and research",Daniel Lee,false,70,55,85,,false,,,,"Innovation, meta-science, & research",WP,2025-04-16,6/5/2025 11:34:00 AM
Stagnation and Scientific Incentives,adv_knowledge,Working paper/mimeo; not published in a peer-reviewed journal,"Innovation, meta-science, and research",Daniel Lee,false,,67,,,false,,,,"Innovation, meta-science, & research",WP,2025-04-16,6/5/2025 11:34:00 AM
Stagnation and Scientific Incentives,methods,Working paper/mimeo; not published in a peer-reviewed journal,"Innovation, meta-science, and research",Daniel Lee,false,,25,,,,,,,"Innovation, meta-science, & research",WP,2025-04-16,6/5/2025 11:34:00 AM
Stagnation and Scientific Incentives,logic_comms,Working paper/mimeo; not published in a peer-reviewed journal,"Innovation, meta-science, and research",Daniel Lee,false,80,70,90,,,,,,"Innovation, meta-science, & research",WP,2025-04-16,6/5/2025 11:34:00 AM
Stagnation and Scientific Incentives,open_sci,Working paper/mimeo; not published in a peer-reviewed journal,"Innovation, meta-science, and research",Daniel Lee,false,50,40,60,,,,"My rating here is based on the data and its use, not the study’s experimental design in the field, which (like many experiments) likely has many nuances in implementation.",,"Innovation, meta-science, & research",WP,2025-04-16,6/5/2025 11:34:00 AM
Stagnation and Scientific Incentives,real_world,Working paper/mimeo; not published in a peer-reviewed journal,"Innovation, meta-science, and research",Daniel Lee,false,50,40,60,,,,,,"Innovation, meta-science, & research",WP,2025-04-16,6/5/2025 11:34:00 AM
Stagnation and Scientific Incentives,gp_relevance,Working paper/mimeo; not published in a peer-reviewed journal,"Innovation, meta-science, and research",Daniel Lee,false,50,40,60,,,,,,"Innovation, meta-science, & research",WP,2025-04-16,6/5/2025 11:34:00 AM
Stagnation and Scientific Incentives,merits_journal,Working paper/mimeo; not published in a peer-reviewed journal,"Innovation, meta-science, and research",Daniel Lee,false,3,2.3,3.7,,,,,,"Innovation, meta-science, & research",WP,2025-04-16,6/5/2025 11:34:00 AM
Stagnation and Scientific Incentives,journal_predict,Working paper/mimeo; not published in a peer-reviewed journal,"Innovation, meta-science, and research",Daniel Lee,false,3.5,3,4.0,,,,,,"Innovation, meta-science, & research",WP,2025-04-16,6/5/2025 11:34:00 AM
The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,overall,"published, decent journal ",Markets for products with large externalities (focus: animal agriculture),Evaluator 2,true,80,70,90,,,,,,"Animal Welfare (markets, attitudes)",Journal of Environmental Economics & Policy,2025-02-04,2/17/2025 11:13:38 AM
The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,claims,"published, decent journal ",Markets for products with large externalities (focus: animal agriculture),Evaluator 2,true,70,65,75,,,,,,"Animal Welfare (markets, attitudes)",Journal of Environmental Economics & Policy,2025-02-04,2/17/2025 11:15:04 AM
The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,adv_knowledge,"published, decent journal ",Markets for products with large externalities (focus: animal agriculture),Evaluator 2,true,90,85,95,,,,,,"Animal Welfare (markets, attitudes)",Journal of Environmental Economics & Policy,2025-02-04,2/17/2025 11:15:12 AM
The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,methods,"published, decent journal ",Markets for products with large externalities (focus: animal agriculture),Evaluator 2,true,65,60,70,,,,,,"Animal Welfare (markets, attitudes)",Journal of Environmental Economics & Policy,2025-02-04,2/17/2025 11:15:12 AM
The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,logic_comms,"published, decent journal ",Markets for products with large externalities (focus: animal agriculture),Evaluator 2,true,90,85,95,,,,,,"Animal Welfare (markets, attitudes)",Journal of Environmental Economics & Policy,2025-02-04,2/17/2025 11:16:21 AM
The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,open_sci,"published, decent journal ",Markets for products with large externalities (focus: animal agriculture),Evaluator 2,true,80,75,85,,,,,,"Animal Welfare (markets, attitudes)",Journal of Environmental Economics & Policy,2025-02-04,2/17/2025 11:16:48 AM
The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,real_world,"published, decent journal ",Markets for products with large externalities (focus: animal agriculture),Evaluator 2,true,80,70,90,,,,,,"Animal Welfare (markets, attitudes)",Journal of Environmental Economics & Policy,2025-02-04,2/17/2025 11:17:14 AM
The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,gp_relevance,"published, decent journal ",Markets for products with large externalities (focus: animal agriculture),Evaluator 2,true,80,70,90,,,,,,"Animal Welfare (markets, attitudes)",Journal of Environmental Economics & Policy,2025-02-04,2/17/2025 11:17:14 AM
The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,overall,"published, decent journal ",Markets for products with large externalities (focus: animal agriculture),Romain Espinosa,false,,,,,,,,,"Animal Welfare (markets, attitudes)",Journal of Environmental Economics & Policy,2025-02-04,2/21/2025 1:40:45 PM
The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,claims,"published, decent journal ",Markets for products with large externalities (focus: animal agriculture),Romain Espinosa,false,,,,,,,"This paper significantly contributes to the discussion on animal welfare valuation by showing some limits of anthropocentric valuation including his own approach. The author recognizes that his method is not reliable to obtain accurate estimates of the welfare of animals. However, it makes a great contribution by underlining the numerous issues that make such approaches unreliable  (e.g., the perception of the animal’s capacity to experience the world, the perception of the animal’s farming conditions, hypothetical biases, outliers, and exclusion criteria). The work also contains numerous limitations, and most of them are recognized by the author himself. The main (and most standard) limitation is the hypothetical nature of the survey: participants do not face real incentives, which might lead to underestimating or overestimating the welfare burden of our diet imposed on animals. One of the most intrinsic limits concerns the difficulty for lay people (and humans in general) to project themselves into the lives of animals of other species. One can be indeed ignorant about the needs, the perception of the world, the cognition, etc. of other species, such that estimating their welfare is a daunting task. In addition, humans can also be ignorant about the rearing conditions in “conventional” farms, making the estimates even more uncertain. Ultimately, the layers of complexity (unusual survey, ignorance about other species, uncertainty about rearing conditions) add up and make the point estimates hard to rely on",,"Animal Welfare (markets, attitudes)",Journal of Environmental Economics & Policy,2025-02-04,2/21/2025 1:40:45 PM
The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,adv_knowledge,"published, decent journal ",Markets for products with large externalities (focus: animal agriculture),Romain Espinosa,false,,,,,,,The paper brings valuable insight into the broader research question of how to get monetary valuations of animal welfare using the tools and approaches of economics.,,"Animal Welfare (markets, attitudes)",Journal of Environmental Economics & Policy,2025-02-04,2/21/2025 1:40:45 PM
The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,methods,"published, decent journal ",Markets for products with large externalities (focus: animal agriculture),Romain Espinosa,false,,,,,,,"Within the limits that the author himself recognizes, the methods are valid, reasonable, and well-justified. From a theoretical perspective, the measure of the human’s perception of the welfare of the animal is well defined: it corresponds to the change in private endowment that makes the human indifferent between living and not living the animal’s life on top of his own life. From an empirical perspective, the author estimates it by considering several challenges, including (i) that some participants might have positive or negative perceptions of the welfare of the animal (i.e., the author uses a first-stage question to elicit the preferred pill), (ii) WTA/WTP framing might alter the results, (iii) outliers could lead to extremely high average WTP/WTA, (iv) some participants might have very low confidence in this unusual exercise, and (v) there might be some intrinsic (dis)utility in living an animal’s life.",,"Animal Welfare (markets, attitudes)",Journal of Environmental Economics & Policy,2025-02-04,2/21/2025 1:40:45 PM
The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,logic_comms,"published, decent journal ",Markets for products with large externalities (focus: animal agriculture),Romain Espinosa,false,,,,,,,The paper is well-written and easy to understand both for academics and less-specialized readers.,,"Animal Welfare (markets, attitudes)",Journal of Environmental Economics & Policy,2025-02-04,2/21/2025 1:40:45 PM
The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,open_sci,"published, decent journal ",Markets for products with large externalities (focus: animal agriculture),Romain Espinosa,false,,,,,,,I did not find an online repository for data and code.,,"Animal Welfare (markets, attitudes)",Journal of Environmental Economics & Policy,2025-02-04,2/21/2025 1:40:45 PM
The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,real_world,"published, decent journal ",Markets for products with large externalities (focus: animal agriculture),Romain Espinosa,false,,,,,,,"Because the author recognizes that the method might not be reliable for empirical estimation, the usefulness might be limited for practitioners (other than to prevent them from replicating such approaches).",,"Animal Welfare (markets, attitudes)",Journal of Environmental Economics & Policy,2025-02-04,2/21/2025 1:40:45 PM
The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,gp_relevance,"published, decent journal ",Markets for products with large externalities (focus: animal agriculture),Romain Espinosa,false,,,,,,,The paper has a high relevance to global priorities given the prevalence of animal factory farming nowadays.,,"Animal Welfare (markets, attitudes)",Journal of Environmental Economics & Policy,2025-02-04,2/21/2025 1:40:45 PM
The Benefits and Costs of Guest Worker Programs: Experimental Evidence From the India-UAE Migration Corridor,overall,Working paper/mimeo; not published in a peer-reviewed journal,Economic development & governance (LMICs),Anon. evaluator 1,true,75,70,85,,,,,,Economic development & governance (LMICs),WP,2024-05-15,6/25/2024 8:51:24 AM
The Benefits and Costs of Guest Worker Programs: Experimental Evidence From the India-UAE Migration Corridor,overall,Working paper/mimeo; not published in a peer-reviewed journal,Economic development & governance (LMICs),Anon. evaluator 2 1,true,75,60,90,,,,,,Economic development & governance (LMICs),WP,2024-05-15,7/2/2024 10:44:03 AM
The Benefits and Costs of Guest Worker Programs: Experimental Evidence From the India-UAE Migration Corridor,merits_journal,Working paper/mimeo; not published in a peer-reviewed journal,Economic development & governance (LMICs),Anon. evaluator 1,true,4.5,4,5,,,,,,Economic development & governance (LMICs),WP,2024-05-15,7/2/2024 10:44:00 AM
The Benefits and Costs of Guest Worker Programs: Experimental Evidence From the India-UAE Migration Corridor,adv_knowledge,Working paper/mimeo; not published in a peer-reviewed journal,Economic development & governance (LMICs),Anon. evaluator 1,true,80,75,85,,,,,,Economic development & governance (LMICs),WP,2024-05-15,7/9/2024 10:23:13 AM
The Benefits and Costs of Guest Worker Programs: Experimental Evidence From the India-UAE Migration Corridor,methods,Working paper/mimeo; not published in a peer-reviewed journal,Economic development & governance (LMICs),Anon. evaluator 1,true,75,70,80,,,,,,Economic development & governance (LMICs),WP,2024-05-15,7/9/2024 10:23:22 AM
