paper,metric,midpoint,lower_bound,upper_bound,rationale
Kubo et al. 2023,open_science,68,55,82,Methods are well-documented; SI provides details; GitHub release of data/code is promised upon publication. Current accessibility uncertain; dependence on third-party scraped data and NLP steps may complicate exact reproduction.
Kubo et al. 2023,global_relevance,77,65,88,"Wildlife trade bans and spillovers are globally salient for biodiversity policy (CITES, demand management). Findings generalize conceptually, though empirical focus is Japan/taxa-specific. Offers actionable insights for monitoring, enforcement, and demand-side interventions."
Liang et al. 2021,overall,86,78,92,"Ambitious, carefully executed multi-method study linking GDP to biodiversity using BioTIME, Bartik-style military shocks, CAA designations, and an upwind-pollution IV. Extensive robustness, heterogeneity, and dynamics. Clear policy relevance. Main limitations: state-level GDP vs site outcomes, BioTIME representativeness, and moderate instrument strength in the full sample."
Liang et al. 2021,claims_evidence,88,80,93,"Core claims (GDP reduces abundance, richness; stability effects; air pollution explains a sizable share; regulations mitigate) are stated clearly and consistently supported by OLS, 2SLS, and IV designs plus robustness. Limitations and scope are appropriately caveated (external validity, channel coverage)."
Liang et al. 2021,methods,84,76,90,"Strong design: FE panels, Bartik instrument for GDP, LASSO-based upwind IV, CAA quasi-experiment, sectoral analyses, dynamics, spatial binning. Thoughtful sensitivity checks. Concerns: KP F≈7 in full-sample 2SLS; exclusion restrictions remain debatable; spatial scale mismatch; BioTIME selection and detectability issues."
Liang et al. 2021,advancing_knowledge,86,78,92,Provides rare causal estimates of economy–biodiversity links across many taxa; quantifies air pollution’s contribution; shows regulatory co-benefits; integrates ecology datasets into econ frameworks. Offers reusable empirical templates and parameter estimates valuable for policy analysis and GP research.
Liang et al. 2021,logic_communication,83,75,90,"Well-structured with clear definitions, stepwise logic, and extensive appendices/figures. Assumptions and identification strategies are discussed candidly. Some sections are dense; a condensed policy summary and clearer guidance on effect-size interpretation across metrics could improve readability."
Liang et al. 2021,open_science,72,60,82,"Relies on public data (BioTIME, BEA, MERRA-2, EPA, WDPA) and documents processing and specifications thoroughly. However, replication packages/code availability are not clearly provided here; some constructed instruments and processing steps may be nontrivial without code."
Liang et al. 2021,global_relevance,82,74,90,"High relevance to biodiversity conservation, environmental regulation, and macro–environment tradeoffs. Findings on CAA co-benefits and protected areas are actionable. US-focused sample limits direct transferability, but methods and insights generalize well to other contexts."
McGuire et al. 2024,overall,87,79,93,"Comprehensive, decision-focused evaluation combining a large LMIC psychotherapy meta-analysis, charity-specific RCTs, and M&E with explicit validity adjustments, spillovers, and extensive sensitivity analyses. Main weaknesses: subjective evidence weighting, pseudo-synthetic controls for M&E, and thin spillover evidence. Nonetheless, claims are carefully bounded and robustness explored."
McGuire et al. 2024,claims_evidence,82,74,90,"Main claims (WELLBY-based cost-effectiveness; 5–6x cash) are clearly stated, quantitatively supported, and caveated. Evidence spans 84 LMIC RCTs, charity RCTs, and very large M&E datasets. Uncertainties (dosage for FB; Baird et al. relevance; spillovers) are explicitly characterized with robustness checks. Some reliance on non-causal M&E limits inferential strength."
McGuire et al. 2024,methods,84,76,91,"Approach is rigorous: multilevel meta-analysis with time-decay, multiple publication-bias corrections, range-restriction and dosage adjustments, and Monte Carlo propagation. Novel but reasonable handling of Iran effects and extreme follow-ups, with sensitivities. Weighting across evidence sources mixes Bayesian and structured judgment; defensible though subjective."
McGuire et al. 2024,advancing_knowledge,89,80,95,"Advances WELLBY cost-effectiveness for mental health in LMICs; integrates spillovers; proposes a transparent framework to combine heterogeneous evidence; provides donor-relevant estimates and extensive appendices. Offers replicable procedures others can adapt. Less strong on definitive spillover magnitudes and fully formalized weighting, but overall high contribution."
McGuire et al. 2024,logic_communication,86,78,92,"Goals, assumptions, and analytical flow are explicit; figures and tables aid understanding. Reasoning is transparent with clear justifications for nonstandard choices and thorough sensitivity analyses. Length/complexity is high, but key messages remain clear and consistent with presented evidence."
McGuire et al. 2024,open_science,76,65,86,"Systematic review with protocol cited; double data checks; RoB assessments; external appendix and summary spreadsheet; methods detailed and implemented in R. However, full code/data availability is unclear and charity M&E microdata are private; some reproducibility constraints remain."
McGuire et al. 2024,global_relevance,93,86,97,"Directly targets neglected mental health in SSA with scalable charities; produces actionable, comparable cost-effectiveness vs cash transfers; informs donors and policymakers. Framework generalizes to other interventions and settings; strong practical relevance to global priorities."
Naidu et al. 2023,overall,90,85,95,"Large, policy-relevant RCT with careful design, multiple follow-ups, admin linkage, attrition reweighting and bounds, and MTE to interpret selection. Clear first-stage, sizable effects, nuanced SWB findings. Some limits: attrition imbalance, partial external validity (two firms, construction), and linear MTE assumption."
Naidu et al. 2023,claims_evidence,88,82,94,"Main claims (earnings gains, intermediary costs, SWB declines, heterogeneity) are tightly linked to randomized offers, IV estimates, admin imputation, and bounding. Expectations vs realizations bolster credibility. Remaining concerns: attrition sensitivity for SWB, self-reported outcomes, and some specification choices."
Naidu et al. 2023,methods,86,80,92,"Well-executed RCT with site-day FE, clustered SEs, IV for treatment-on-treated, attrition weights, Manski bounds, admin data calibration, and linear MTE extrapolation. Assumptions: monotonicity, linear MTE, limited spillovers. Some outcomes are subjective; external validity mainly construction, UAE."
Naidu et al. 2023,advancing_knowledge,92,86,97,"Rare experimental evidence on Gulf guest workers; quantifies intermediary fees, SWB costs, and heterogeneity informing the policy-efficiency debate. Integrates reservation wages and MTE. Substantially advances understanding of pecuniary vs non-pecuniary migration trade-offs."
Naidu et al. 2023,logic_communication,85,78,92,"Clear framing, transparent reporting, coherent tables/figures, and careful interpretation (ITT, IV, bounds). Mechanisms plausibly argued (pain/effort/heat). Some density of presentation and heavy appendices may challenge non-specialists."
Naidu et al. 2023,open_science,60,45,75,"Pre-registered (AEARCTR-0001294). Strong design transparency. However, uncertain public availability of de-identified data/code (admin data constraints). Replication facilitated by detail, but full reproducibility may be limited."
Naidu et al. 2023,global_relevance,94,88,98,"Highly relevant to global priorities: migration policy, poverty reduction, labor standards, intermediation. Directly informs policy trade-offs (wages vs take-up; standards vs efficiency) in one of the world’s largest corridors."
Schuett et al. 2023,overall,86,76,92,"Well-executed expert survey with preregistration, transparent analysis, and clear policy relevance. Figures and communication are strong; open-science practices are exemplary. Main weaknesses are purposive sampling biased toward prominent Western labs, abstract/leading item phrasing that likely inflates agreement, and limited power for subgroup analyses."
Schuett et al. 2023,claims_evidence,82,72,90,"Claims are descriptive and appropriately modest; evidence aligns with reported results. The paper carefully characterizes limitations and uncertainty. However, purposive sampling and abstract, positively framed items may bias agreement levels; no sensitivity to alternative framings or weighting for nonresponse."
Schuett et al. 2023,methods,78,68,86,"Sound survey design with preregistration, a pre-analysis plan, nonparametric tests, and multiple-comparison corrections. Clear treatment of anonymity and deviations. Limitations: small N, optional items causing missingness, possible selection/nonresponse bias, abstract items that may prime respondents, limited subgroup power, and no robustness checks to item wording."
Schuett et al. 2023,advancing_knowledge,84,72,92,"Provides an actionable consensus map of AGI lab governance practices, useful for standards, audits, and regulation. Synthesizes and prioritizes practices with empirical backing from domain experts. Contribution is pragmatic rather than methodological; abstraction limits immediate operationalization."
Schuett et al. 2023,logic_communication,88,80,94,"Goals, definitions, and categories are clear; reasoning and limitations are explicit; visuals are informative and consistent with text. Conclusions match the evidence and avoid overclaiming."
Schuett et al. 2023,open_science,90,82,96,"Strong OSF package: survey draft, preregistration, pre-analysis plan, code, and data. Deviations are documented. Privacy-restricted demographics/text are justified; overall reproducibility is high."
Schuett et al. 2023,global_relevance,89,80,96,"High policy salience for AI governance and global risk reduction; directly informative for labs, regulators, and standards bodies. Some limits to global representativeness (sectoral/geographic skew) but findings remain broadly applicable to frontier-model governance."
Trammel and Aschenbrenner 2025,overall,90,82,97,"Rigorous, timely theory reframing growth–x-risk. Clear propositions, proofs, and a policy mechanism yielding a Kuznets-like safety response. Decomposes state vs transition risk; provides simulations with code. Limitations: stylized 1-D technology, reliance on planner optimality and isoelastic utility (η>1), and limited empirical calibration/validation."
Trammel and Aschenbrenner 2025,claims_evidence,88,80,95,"Claims are carefully scoped as positive. Assumptions explicit; edge cases characterized (e.g., γ≤1 vs >1); survival conditions proved. Evidence is theoretical with illustrative simulations; parameters justified but not empirically estimated. Limitations and scope creep (policy frictions, accrued risk) are acknowledged."
Trammel and Aschenbrenner 2025,methods,86,78,94,"Well-justified mathematical modeling; clean decomposition; comparative statics; rigorous proofs; robustness discussed via alternative hazard forms and frictions. Some results hinge on strong assumptions (C2 smoothness, convexity, 1-D tech, planner optimal policy, η>1). Calibration and empirical external validity are limited."
Trammel and Aschenbrenner 2025,advancing_knowledge,92,85,98,Shifts baseline from ‘slower is safer’ to ‘positive risk-minimizing growth’; formalizes existential-risk Kuznets curve; clarifies state vs transition risk tradeoffs. Offers actionable guidance: target risky domains rather than blanket slowdowns. Likely to influence AI/bio/climate x-risk research and policy.
Trammel and Aschenbrenner 2025,logic_communication,89,82,95,"Goals, assumptions, and steps are explicit; notation consistent; propositions and proofs clear; figures aid intuition. Dense in places; heavy notation may limit accessibility for non-economists. Distinction between positive results and normative takeaways is mostly clear."
Trammel and Aschenbrenner 2025,open_science,72,60,85,"Derivations and appendices provided; simulation code link supplied; no proprietary data. A public, versioned repository with documentation/tests and archived artifacts would strengthen reproducibility. No preregistration (theoretical work)."
Trammel and Aschenbrenner 2025,global_relevance,95,90,99,"Directly addresses existential risk and technology policy; highly pertinent to global priorities (AI, bio, climate). Provides quantitative conditions informing prioritization and monitoring; practical implications for R&D policy and regulation targeting."
Walker et al. 2023,overall,89,82,95,"High-quality longitudinal RCT follow-up: 23-year KLPS with 86%+ tracking; clear 22% U5MR reduction (−17/1000) with robustness checks (LPM/logit/probit, weights). Mechanisms handled cautiously; heterogeneity/dose–response supportive. Limitations: mortality self-reported, mediation not identified causally, potential spouse spillovers, external validity (Busia). Cost–benefit relies on WTP with large uncertainty."
Walker et al. 2023,claims_evidence,88,80,94,"Main claims are explicit and supported: significant U5MR reduction; IMR effect reported as imprecise. Robustness across models/weighting; attrition balanced. Mechanism claims framed as suggestive; limitations acknowledged (timing mismatch, bad-control concerns). Dose–response evidence strengthens story."
Walker et al. 2023,methods,87,78,93,"Strong randomized phase-in design; appropriate clustering, covariate adjustment, birth-year FE, weighting; sensitivity checks (logit/probit, alternative weights). Heterogeneity and assigned-years dose–response informative. Weaknesses: self-reported mortality; no formal multiple-testing control; mediation not causal; potential cross-household spillovers/spousal treatment; external validity limits."
Walker et al. 2023,advancing_knowledge,90,82,96,Rare causal evidence on intergenerational child survival from adolescent deworming. Extends KLPS literature to mortality outcomes; quantifies channels and cost–benefit. High relevance for debates on deworming’s long-run and intergenerational impacts; informs global health prioritization.
Walker et al. 2023,logic_communication,88,80,94,"Clear articulation of questions, design, and findings; figures/tables aligned with narrative; assumptions and caveats explicit. Mechanisms section carefully framed. Some complexity (weights, DALY valuation) could be distilled further, but overall reasoning is transparent and consistent."
Walker et al. 2023,open_science,75,65,85,"Trial registered (AEARCTR-0001191), disclosures, detailed appendices, construction notes, and robustness provided. KLPS microdata likely restricted; code availability unclear; stated-preference survey not obviously archived. Replication feasible but nontrivial without full data/code release."
Walker et al. 2023,global_relevance,93,86,98,Directly informs child mortality policy in LMICs with high helminth burden; intergenerational benefits matter for cost-effectiveness and prioritization. Communicates actionable magnitudes (per 1000 births; IRRs). High external policy salience despite local sample constraints.
Williams et al. 2024,overall,90,85,95,"High-impact Nature paper delivering first pantropical 30 m map of natural regeneration potential (≈215 Mha; 23.4 Gt C over 30 years). Strong empirical basis, careful caveats, and policy relevance. Limitations: deterministic mapping with very tight area CI, partial handling of spatial autocorrelation, and code only “on request,” not fully open."
Williams et al. 2024,claims_evidence,88,80,93,"Main claims (extent and distribution of regeneration potential; carbon implications) are clear and largely supported by RF models trained on observed regrowth and validated (~87.9% accuracy). Sensibly interprets drivers (distance to forest, forest density). Caveats noted: humid-biome omission issues, mixed-resolution predictors, stationarity to 2030, and narrow area CI lacking model uncertainty."
Williams et al. 2024,methods,82,74,90,"Reasonable, well-justified RF with variable selection; extensive covariates; validation includes distance-to-training assessment for autocorrelation. Chose biophysical-only predictors after comparison. Gaps: no full spatial/block cross-validation, limited uncertainty propagation for maps/areas, deterministic carbon aggregation, and potential sampling/label biases from source regrowth product."
Williams et al. 2024,advancing_knowledge,92,86,97,"Provides first high-resolution, empirically grounded pantropical probability surface for natural regeneration and derived carbon potential, improving on coarse/assumption-driven opportunity maps. Creates actionable inputs for targeting restoration, incentives, and planning; highlights country-level concentration. Likely to be widely used and built upon."
Williams et al. 2024,logic_communication,90,85,95,"Questions, assumptions, and limitations are explicit; reasoning is transparent; figures/tables are interpretable; partial dependence and accuracy diagnostics aid understanding. Appropriate caution about feasibility, leakage, additionality, permanence, and equity. Minor complexity from mixed-resolution inputs is clearly flagged."
Williams et al. 2024,open_science,72,60,82,"Key 30 m tiles (continuous and binary) released on Zenodo; inputs mostly public; thorough data sourcing. However, analysis code is ‘available on request’ rather than openly archived; not an end-to-end reproducible pipeline; some inputs updated/reprocessed across versions, hindering exact replication."
Williams et al. 2024,global_relevance,95,90,99,"Directly relevant to nature-based climate solutions, cost-effective restoration, and biodiversity co-benefits. Quantifies large potential (215 Mha; 23.4 Gt C), identifies priority countries, and discusses policy instruments, markets, and equity. Highly actionable for national targets, PES design, and carbon accounting."
